Focus Group,Pain Point,processed_content,label,VADER,Business Score,processed_pain_points
NBD NBD Internal,Enhanced Reporting: Improve reporting and analysis capabilities for neighborhood planning and housing programs.,enhanced reporting improve reporting analysis capability neighborhood planning housing program,positive,0.4404,0,enhanced reporting improve reporting analysis capability neighborhood planning housing program
NBD NBD Internal,Improved Record Management: Better organize historical property and redevelopment records while preserving program history.,improved record management better organize historical property redevelopment record preserving program history,positive,0.7184,0,improved record management better organize historical property redevelopment record preserving program history
Assessment Assessment Supervisors,Historical Record Management: Historical permits and property records often require searching IPS together with OnBase because historical information is not consolidated.,historical record management historical permit property record often require searching ip together onbase historical information consolidated,neutral,0.0,-1,historical record management historical permit property record often require searching ip together onbase historical information consolidated
Assessment Assessment Supervisors,"Incomplete Property History: IPS does not always provide a complete historical picture for permits, Certificates of Occupancy, or property changes.",incomplete property history ip always provide complete historical picture permit certificate occupancy property change,neutral,0.0,-3,incomplete property history ip always provide complete historical picture permit certificate occupancy property change
Assessment Assessment Supervisors,Large Plan Viewing: Large plans and surveys cannot be viewed effectively within IPS.,large plan viewing large plan survey viewed effectively within ip,positive,-0.3412,-3,large plan viewing large plan survey viewed effectively within ip
Assessment Assessment Supervisors,Limited Historical Visibility: Historical records are frequently needed to determine legal occupancy and previous property conditions but are not always easily accessible.,limited historical visibility historical record frequently needed determine legal occupancy previous property condition always easily accessible,positive,-0.4125,-2,limited historical visibility historical record frequently needed determine legal occupancy previous property condition always easily accessible
Assessment Assessment Supervisors,"Historical Property Research: Research often requires reviewing permits, surveys, Engineering records, and historical documents together.",historical property research research often requires reviewing permit survey engineering record historical document together,neutral,0.0,-2,historical property research research often requires reviewing permit survey engineering record historical document together
Assessment Assessment Supervisors,Resubdivision Coordination: Parcel updates require coordination with Engineering and County mapping.,resubdivision coordination parcel update require coordination engineering county mapping,neutral,0.0,0,resubdivision coordination parcel update require coordination engineering county mapping
Assessment Assessment Supervisors,"Permit-Driven Workload: Most assessment work begins with permit activity, although unpermitted work may still be discovered.",workload assessment work begin permit activity although unpermitted work may still discovered,neutral,0.0,0,workload assessment work begin permit activity although unpermitted work may still discovered
Assessment Assessment Supervisors,Seasonal Review Process: Permit monitoring and field review activities vary throughout the year based on the assessment calendar.,seasonal review process permit monitoring field review activity vary throughout year based assessment calendar,neutral,0.0,0,seasonal review process permit monitoring field review activity vary throughout year based assessment calendar
DOCE Admin Aide,System Performance & Usability,system performance usability,neutral,0.0,0,system performance usability
DOCE Admin Aide,IPS crashes frequently during complaint entry and daily operations.,ip crash frequently complaint entry daily operation,negative,-0.296,0,ip crash frequently complaint entry daily operation
DOCE Admin Aide,Users experience unhandled exceptions and memory-related errors.,user experience unhandled exception error,negative,-0.34,0,user experience unhandled exception error
DOCE Admin Aide,Work can be lost when the system crashes unexpectedly.,work lost system crash unexpectedly,negative,-0.3182,0,work lost system crash unexpectedly
DOCE Admin Aide,Multiple open tabs may contribute to instability.,multiple open tab may contribute instability,neutral,0.0,-2,multiple open tab may contribute instability
DOCE Admin Aide,Inspection appointments must be entered into multiple systems.,inspection appointment must entered multiple system,neutral,0.0,-2,inspection appointment must entered multiple system
DOCE Admin Aide,Outlook and IPS schedules are not synchronized.,outlook ip schedule synchronized,neutral,0.0,0,outlook ip schedule synchronized
DOCE Admin Aide,Periodic Inspection scheduling workflows are cumbersome.,periodic inspection scheduling workflow cumbersome,neutral,0.0,0,periodic inspection scheduling workflow cumbersome
DOCE Admin Aide,Inspector lists in the Periodic Inspection module are not alphabetized.,inspector list periodic inspection module alphabetized,neutral,0.0,0,inspector list periodic inspection module alphabetized
DOCE Admin Aide,Finding specific cases can be difficult.,finding specific case difficult,negative,-0.3612,-3,finding specific case difficult
DOCE Admin Aide,Parcel History provides limited information when reviewing large properties.,parcel history provides limited information reviewing large property,negative,-0.2263,-2,parcel history provides limited information reviewing large property
DOCE Admin Aide,Important information can be difficult to locate within cases.,important information difficult locate within case,negative,-0.1779,-3,important information difficult locate within case
DOCE Admin Aide,Case notes and attachments are not always organized consistently.,case note attachment always organized consistently,positive,0.2732,0,case note attachment always organized consistently
DOCE Admin Aide,Some features behave differently across modules.,feature behave differently across module,neutral,0.0,0,feature behave differently across module
DOCE Admin Aide,Save functions are inconsistent.,save function inconsistent,positive,0.4939,0,save function inconsistent
DOCE Admin Aide,Certain attachments cannot always be uploaded successfully.,certain attachment always uploaded successfully,positive,0.7506,-3,certain attachment always uploaded successfully
DOCE Admin Aide,Some complaint types do not have clearly defined workflows.,complaint type clearly defined workflow,positive,-0.5358,0,complaint type clearly defined workflow
DOCE Admin Aide,Complaint cases can take significant time to open.,complaint case take significant time open,negative,-0.1027,0,complaint case take significant time open
DOCE Admin Aide,System responsiveness slows when handling multiple activities simultaneously.,system responsiveness slows handling multiple activity simultaneously,neutral,0.0,-4,system responsiveness slows handling multiple activity simultaneously
DOCE Admin Aide,Uploading documents can impact performance.,uploading document impact performance,neutral,0.0,0,uploading document impact performance
DOCE Admin Aide,Duplicate data entry is required across multiple applications.,duplicate data entry required across multiple application,neutral,0.0,-4,duplicate data entry required across multiple application
DOCE Admin Aide,Staff must frequently switch between systems to complete a task.,staff must frequently switch system complete task,neutral,0.0,0,staff must frequently switch system complete task
DOCE Admin Aide,Ownership information can be difficult to verify.,ownership information difficult verify,negative,-0.3612,-3,ownership information difficult verify
DOCE Admin Aide,Address changes are not always reflected consistently.,address change always reflected consistently,neutral,0.0,0,address change always reflected consistently
DOCE Admin Aide,Multiple property research tools must be used together.,multiple property research tool must used together,neutral,0.0,-4,multiple property research tool must used together
DOCE Admin Aide,Training & Knowledge Challenges,training knowledge challenge,positive,0.0772,0,training knowledge challenge
DOCE Admin Aide,"Staff rely heavily on personal notes, cheat sheets, and reference documents.",staff rely heavily personal note cheat sheet reference document,negative,-0.4588,0,staff rely heavily personal note cheat sheet reference document
DOCE Admin Aide,Knowledge of certain processes is dependent on individual staff experience.,knowledge certain process dependent individual staff experience,positive,0.2732,0,knowledge certain process dependent individual staff experience
DOCE Admin Aide,Limited standardization exists across some administrative workflows.,limited standardization exists across administrative workflow,negative,-0.2263,-2,limited standardization exists across administrative workflow
DOCE Admin Aide,Calls automatically disconnect after several minutes.,call automatically disconnect several minute,neutral,0.0,0,call automatically disconnect several minute
DOCE Admin Aide,Long scheduling conversations are frequently interrupted.,long scheduling conversation frequently interrupted,negative,-0.296,0,long scheduling conversation frequently interrupted
DOCE Admin Aide,Customers become frustrated when calls are dropped.,customer become frustrated call dropped,negative,-0.5267,0,customer become frustrated call dropped
DOCE Admin Aide,Staff lose significant time handling repeat calls.,staff lose significant time handling repeat call,negative,-0.2263,0,staff lose significant time handling repeat call
DOCE Admin Aide,High call volumes create interruptions throughout the day.,high call volume create interruption throughout day,negative,-0.1531,0,high call volume create interruption throughout day
DOCE Admin Aide,Front-counter traffic can become overwhelming.,traffic become overwhelming,neutral,0.0,0,traffic become overwhelming
DOCE Supervisors,Missed Case Tracking: Cases can be missed if tickle dates are not entered correctly.,missed case tracking case missed tickle date entered correctly,negative,-0.5267,0,missed case tracking case missed tickle date entered correctly
DOCE Supervisors,No Automatic Monitoring: No system-generated alerts for inactive or stalled cases.,automatic monitoring alert inactive stalled case,positive,-0.6369,0,automatic monitoring alert inactive stalled case
DOCE Supervisors,Open Case Cleanup: Large number of legacy and inactive cases require manual cleanup.,open case cleanup large number legacy inactive case require manual cleanup,positive,0.0772,-5,open case cleanup large number legacy inactive case require manual cleanup
DOCE Supervisors,"Cases Easily Lost: Cases, permits, and assignments can disappear from visibility if workflows are not followed correctly.",case easily lost case permit assignment disappear visibility workflow followed correctly,negative,-0.2023,0,case easily lost case permit assignment disappear visibility workflow followed correctly
DOCE Supervisors,Human Error Dependency: The system relies heavily on users remembering to complete actions.,human error dependency system relies heavily user remembering complete action,negative,-0.4019,-2,human error dependency system relies heavily user remembering complete action
DOCE Supervisors,Data & Information Issues,data information issue,neutral,0.0,-2,data information issue
DOCE Supervisors,Incomplete Historical Data: Historical information is missing or difficult to locate.,incomplete historical data historical information missing difficult locate,negative,-0.5719,-9,incomplete historical data historical information missing difficult locate
DOCE Supervisors,Difficult Property Research: Researching property history requires navigating multiple records and screens.,difficult property research researching property history requires navigating multiple record screen,negative,-0.3612,-7,difficult property research researching property history requires navigating multiple record screen
DOCE Supervisors,Parcel Search Challenges: Subdivided and inactive parcels are difficult to track.,parcel search challenge subdivided inactive parcel difficult track,negative,-0.296,-4,parcel search challenge subdivided inactive parcel difficult track
DOCE Supervisors,Scattered Information: Related property information is not presented in a single view.,scattered information related property information presented single view,neutral,0.0,-3,scattered information related property information presented single view
DOCE Supervisors,Limited Reporting Capability: Reporting and analysis require significant manual effort.,limited reporting capability reporting analysis require significant manual effort,neutral,-0.0258,-5,limited reporting capability reporting analysis require significant manual effort
DOCE Supervisors,"No Advanced Analytics: Limited ability to identify trends, recurring offenders, or enforcement patterns.",advanced analytics limited ability identify trend recurring offender enforcement pattern,neutral,-0.3182,-2,advanced analytics limited ability identify trend recurring offender enforcement pattern
DOCE Supervisors,System Performance & Usability,system performance usability,neutral,0.0,0,system performance usability
DOCE Supervisors,Volume Challenges: IPS becomes cumbersome as case volume increases.,volume challenge ip becomes cumbersome case volume increase,positive,0.0772,0,volume challenge ip becomes cumbersome case volume increase
DOCE Supervisors,Specialized Knowledge Required: Users require significant experience to fully utilize the system.,specialized knowledge required user require significant experience fully utilize system,positive,0.2023,0,specialized knowledge required user require significant experience fully utilize system
DOCE Supervisors,No Batch Processing: Large-scale updates and cleanup activities are difficult to perform.,batch processing update cleanup activity difficult perform,negative,-0.5719,-3,batch processing update cleanup activity difficult perform
DOCE Supervisors,Duplicate Data Entry: Information must be entered and verified across multiple applications.,duplicate data entry information must entered verified across multiple application,neutral,0.0,-4,duplicate data entry information must entered verified across multiple application
DOCE Supervisors,No Single Source of Truth: Property information is distributed across multiple databases.,single source truth property information distributed across multiple database,positive,0.0258,-2,single source truth property information distributed across multiple database
DOCE Supervisors,Missing Historical Records: Some historical records were lost or remain inaccessible.,missing historical record historical record lost remain inaccessible,negative,-0.5423,-3,missing historical record historical record lost remain inaccessible
DOCE Supervisors,"Paper-Based Archives: Information remains stored in microfiche, paper files, and legacy systems.",archive information remains stored microfiche paper file legacy system,neutral,0.0,-4,archive information remains stored microfiche paper file legacy system
DOCE Supervisors,Incomplete Digital Migration: Historical information has not been fully digitized.,incomplete digital migration historical information fully digitized,neutral,0.0,-3,incomplete digital migration historical information fully digitized
DOCE Supervisors,Email Overload: Excessive reliance on email for project management and collaboration.,email overload excessive reliance email project management collaboration,negative,-0.3612,0,email overload excessive reliance email project management collaboration
DOCE Supervisors,"Coordination Delays: Multiple departments are involved in many workflows, creating delays.",coordination delay multiple department involved many workflow creating delay,negative,0.296,-4,coordination delay multiple department involved many workflow creating delay
DOCE Supervisors,Contractor & Public Challenges,contractor public challenge,positive,0.0772,0,contractor public challenge
DOCE Supervisors,Camino Frustration: Contractors frequently struggle with Camino.,camino frustration contractor frequently struggle camino,negative,-0.6597,0,camino frustration contractor frequently struggle camino
DOCE Supervisors,"Address Discrepancies: Property addresses often differ between systems, creating confusion.",address discrepancy property address often differ system creating confusion,neutral,0.0,0,address discrepancy property address often differ system creating confusion
DOCE Supervisors,Constituent Escalations: Supervisors spend significant time responding to escalated complaints and requests.,constituent escalation supervisor spend significant time responding escalated complaint request,negative,-0.2263,0,constituent escalation supervisor spend significant time responding escalated complaint request
DOCE Zoning,"Fragmented Historical Records: Historical property, zoning, and parcel records are scattered across IPS, Camino, OnBase, AS400, microfiche, and paper archives, making research time-consuming.",fragmented historical record historical property zoning parcel record scattered across ip camino onbase microfiche paper archive making research,neutral,0.0,-10,fragmented historical record historical property zoning parcel record scattered across ip camino onbase microfiche paper archive making research
DOCE Zoning,"Complex Property Research: Parcel history is difficult to follow after subdivisions, lot alterations, ownership changes, and address changes.",complex property research parcel history difficult follow subdivision lot alteration ownership change address change,negative,-0.3612,-5,complex property research parcel history difficult follow subdivision lot alteration ownership change address change
DOCE Zoning,"Incomplete Digital Records: Many historical zoning projects and approvals have not been migrated into IPS, requiring staff to search legacy systems.",incomplete digital record many historical zoning project approval migrated ip requiring staff search legacy system,positive,0.0,-6,incomplete digital record many historical zoning project approval migrated ip requiring staff search legacy system
DOCE Zoning,"Limited Search Functionality: Searching historical parcels, addresses, and zoning records is inefficient due to limited filtering and search capabilities.",limited search functionality searching historical parcel address zoning record inefficient due limited filtering search capability,negative,-0.4215,-3,limited search functionality searching historical parcel address zoning record inefficient due limited filtering search capability
DOCE Zoning,"Scattered Project Information: Project documents, approvals, and historical records are distributed across multiple systems, making it difficult to view complete project history.",scattered project information project document approval historical record distributed across multiple system making difficult view complete project history,positive,-0.3612,-8,scattered project information project document approval historical record distributed across multiple system making difficult view complete project history
DOCE Zoning,Missing Supporting Documentation: Older zoning projects often contain incomplete attachments or missing supporting documents within IPS.,missing supporting documentation older zoning project often contain incomplete attachment missing supporting document within ip,positive,0.5423,-6,missing supporting documentation older zoning project often contain incomplete attachment missing supporting document within ip
DOCE Zoning,"Late Zoning Reviews: Certificate of Use and zoning reviews sometimes occur too late in the permitting process, delaying approvals.",late zoning review certificate use zoning review sometimes occur late permitting process delaying approval,positive,0.0,-2,late zoning review certificate use zoning review sometimes occur late permitting process delaying approval
DOCE Zoning,Manual Research Process: Staff must switch between multiple systems and physical archives to complete property research.,manual research process staff must switch multiple system physical archive complete property research,neutral,0.0,-7,manual research process staff must switch multiple system physical archive complete property research
DOCE Zoning,High Communication Volume: Responding to applicant inquiries and coordinating with reviewing departments consumes significant staff time.,high communication volume responding applicant inquiry coordinating reviewing department consumes significant staff time,positive,0.2023,0,high communication volume responding applicant inquiry coordinating reviewing department consumes significant staff time
DOCE Zoning,Cross-Department Dependencies: Zoning reviews depend on timely input and coordination from multiple City departments.,dependency zoning review depend timely input coordination multiple city department,neutral,0.0,-2,dependency zoning review depend timely input coordination multiple city department
DOCE Zoning,Legacy Record Dependency: Historical paper files and basement archives are still required to complete many zoning reviews.,legacy record dependency historical paper file basement archive still required complete many zoning review,neutral,0.0,-6,legacy record dependency historical paper file basement archive still required complete many zoning review
DOCE Office Manager,Ownership & Contact Management,ownership contact management,neutral,0.0,0,ownership contact management
DOCE Office Manager,Duplicate ownership and contact records.,duplicate ownership contact record,neutral,0.0,-2,duplicate ownership contact record
DOCE Office Manager,Ownership updates do not consistently populate across records.,ownership update consistently populate across record,neutral,0.0,0,ownership update consistently populate across record
DOCE Office Manager,"Difficult to track relationships between owners, agents, and businesses.",difficult track relationship owner agent business,negative,-0.3612,-3,difficult track relationship owner agent business
DOCE Office Manager,Property manager information is difficult to maintain.,property manager information difficult maintain,negative,-0.3612,-3,property manager information difficult maintain
DOCE Office Manager,Ownership / Property Management,ownership property management,neutral,0.0,0,ownership property management
DOCE Office Manager,Address updates require extensive manual effort.,address update require extensive manual effort,neutral,0.0,-3,address update require extensive manual effort
DOCE Office Manager,Mailing and parcel addresses are managed separately.,mailing parcel address managed separately,neutral,0.0,0,mailing parcel address managed separately
DOCE Office Manager,Changes often require updates in multiple locations.,change often require update multiple location,neutral,0.0,-2,change often require update multiple location
DOCE Office Manager,Difficult to locate ownership and historical property information.,difficult locate ownership historical property information,negative,-0.3612,-3,difficult locate ownership historical property information
DOCE Office Manager,Parcel History can be difficult to navigate.,parcel history difficult navigate,negative,-0.3612,-3,parcel history difficult navigate
DOCE Office Manager,Historical records are not easily accessible.,historical record easily accessible,positive,-0.2584,0,historical record easily accessible
DOCE Office Manager,Searching across properties and cases is inefficient.,searching across property case inefficient,neutral,0.0,-1,searching across property case inefficient
DOCE Office Manager,System Performance & Usability,system performance usability,neutral,0.0,0,system performance usability
DOCE Office Manager,Frequent crashes and memory-related errors.,frequent crash error,negative,-0.34,0,frequent crash error
DOCE Office Manager,Unexpected shutdowns can result in lost work.,unexpected shutdown result lost work,negative,-0.3182,0,unexpected shutdown result lost work
DOCE Office Manager,Performance decreases when handling multiple records.,performance decrease handling multiple record,neutral,0.0,-2,performance decrease handling multiple record
DOCE Office Manager,BAA referrals require significant manual oversight.,baa referral require significant manual oversight,positive,0.2023,-3,baa referral require significant manual oversight
DOCE Office Manager,Document management and uploads can be inconsistent.,document management uploads inconsistent,neutral,0.0,0,document management uploads inconsistent
DOCE Office Manager,Administrative workflows are not standardized across modules.,administrative workflow standardized across module,neutral,0.0,0,administrative workflow standardized across module
DOCE Office Manager,Duplicate data entry is common.,duplicate data entry common,neutral,0.0,-2,duplicate data entry common
DOCE Office Manager,No centralized source of property and ownership information exists.,centralized source property ownership information exists,neutral,-0.296,0,centralized source property ownership information exists
DOCE Office Manager,Ownership verification requires multiple systems.,ownership verification requires multiple system,neutral,0.0,-2,ownership verification requires multiple system
DOCE Office Manager,Historical property information can be difficult to locate.,historical property information difficult locate,negative,-0.3612,-3,historical property information difficult locate
DOCE Office Manager,Tracking ownership changes requires extensive manual research.,tracking ownership change requires extensive manual research,neutral,0.0,-5,tracking ownership change requires extensive manual research
DOCE Office Manager,Tickets are frequently returned for minor corrections.,ticket frequently returned minor correction,neutral,0.0,0,ticket frequently returned minor correction
DOCE Office Manager,Multiple review cycles delay enforcement activities.,multiple review cycle delay enforcement activity,negative,-0.3182,-4,multiple review cycle delay enforcement activity
DOCE Office Manager,"Significant coordination is required between Office Managers, inspectors, and BAA.",significant coordination required office manager inspector baa,positive,0.2023,0,significant coordination required office manager inspector baa
DOCE Office Manager,High volumes of records management and research activities.,high volume record management research activity,neutral,0.0,-2,high volume record management research activity
DOCE Office Manager,Significant time spent correcting data and ownership issues.,significant time spent correcting data ownership issue,positive,0.2023,-2,significant time spent correcting data ownership issue
DOCE Office Manager,Executive support and special projects compete with operational responsibilities.,executive support special project compete operational responsibility,positive,0.6597,0,executive support special project compete operational responsibility
DOCE Fire Prevention Bureau,"Historical Research Takes Too Long: Researching prior violations, occupancy records, and property history requires multiple searches and system access.",historical research take long researching prior violation occupancy record property history requires multiple search system access,negative,-0.5267,-4,historical research take long researching prior violation occupancy record property history requires multiple search system access
DOCE Fire Prevention Bureau,Difficult Certificate Research: Finding previous Certificates of Occupancy and capacity information requires extensive digging.,difficult certificate research finding previous certificate occupancy capacity information requires extensive digging,negative,-0.3612,-5,difficult certificate research finding previous certificate occupancy capacity information requires extensive digging
DOCE Fire Prevention Bureau,Multiple Search Locations: Information exists in several areas of the system.,multiple search location information exists several area system,neutral,0.0,-3,multiple search location information exists several area system
DOCE Fire Prevention Bureau,Parcel Search Limitations: Parcel information must be exact and is difficult to locate.,parcel search limitation parcel information must exact difficult locate,negative,-0.3612,-4,parcel search limitation parcel information must exact difficult locate
DOCE Fire Prevention Bureau,"Multiple Documentation Locations: Users document actions, inspections, photos, and violations in different places.",multiple documentation location user document action inspection photo violation different place,negative,-0.5267,-2,multiple documentation location user document action inspection photo violation different place
DOCE Fire Prevention Bureau,Inconsistent Documentation Practices: Different users store information differently.,inconsistent documentation practice different user store information differently,neutral,0.0,0,inconsistent documentation practice different user store information differently
DOCE Fire Prevention Bureau,Missing Parcel Information: Important parcel data is unavailable or difficult to locate.,missing parcel information important parcel data unavailable difficult locate,negative,-0.4404,-6,missing parcel information important parcel data unavailable difficult locate
DOCE Fire Prevention Bureau,Inactive Parcel Issues: Parcels that are active appear inactive within IPS.,inactive parcel issue parcel active appear inactive within ip,positive,0.4019,-2,inactive parcel issue parcel active appear inactive within ip
DOCE Fire Prevention Bureau,Certificate & Inspection Review Challenges,certificate inspection review challenge,positive,0.0772,0,certificate inspection review challenge
DOCE Fire Prevention Bureau,CofO Sign-Off Process: Reviewing Certificates of Occupancy requires checking multiple locations.,cofo process reviewing certificate occupancy requires checking multiple location,neutral,0.0,-2,cofo process reviewing certificate occupancy requires checking multiple location
DOCE Fire Prevention Bureau,Closed Inspection Visibility: Difficult to locate all completed inspections associated with a project.,closed inspection visibility difficult locate completed inspection associated project,negative,-0.3612,-3,closed inspection visibility difficult locate completed inspection associated project
DOCE Fire Prevention Bureau,Review Tracking Challenges: Tracking inspection and permit review status is cumbersome.,review tracking challenge tracking inspection permit review status cumbersome,positive,0.0772,0,review tracking challenge tracking inspection permit review status cumbersome
DOCE Fire Prevention Bureau,Desktop Dependency: IPS does not function well outside the office.,desktop dependency ip function well outside office,positive,-0.2057,-2,desktop dependency ip function well outside office
DOCE Fire Prevention Bureau,No Effective Mobile Access: Inspectors cannot effectively use IPS in the field.,effective mobile access inspector effectively use ip field,positive,-0.1295,-3,effective mobile access inspector effectively use ip field
DOCE Fire Prevention Bureau,Limited Real-Time Documentation: Inspection information is not easily entered from mobile devices.,limited documentation inspection information easily entered mobile device,positive,-0.4471,-2,limited documentation inspection information easily entered mobile device
DOCE Fire Prevention Bureau,"Too Many Systems: Staff use IPS, Camino, EPR, Compliance Engine, Outlook, spreadsheets, and paper planners.",many system staff use ip camino epr compliance engine outlook spreadsheet paper planner,neutral,0.0,-2,many system staff use ip camino epr compliance engine outlook spreadsheet paper planner
DOCE Fire Prevention Bureau,Weak Integration: Information does not move efficiently between systems.,weak integration information move efficiently system,negative,-0.6319,0,weak integration information move efficiently system
DOCE Fire Prevention Bureau,Manual Coordination: Significant effort is required to coordinate data across platforms.,manual coordination significant effort required coordinate data across platform,positive,0.2023,-3,manual coordination significant effort required coordinate data across platform
DOCE Fire Prevention Bureau,No Built-In Calendar: Camino and EPR lack effective scheduling and calendar functionality.,calendar camino epr lack effective scheduling calendar functionality,positive,-0.1027,0,calendar camino epr lack effective scheduling calendar functionality
DOCE Fire Prevention Bureau,"Multiple Scheduling Systems: Staff use Outlook, ERP, and permit systems (Camino) simultaneously.",multiple scheduling system staff use outlook erp permit system camino simultaneously,neutral,0.0,-2,multiple scheduling system staff use outlook erp permit system camino simultaneously
DOCE Fire Prevention Bureau,Duplicate Scheduling Activities: Inspection scheduling must be maintained in multiple locations.,duplicate scheduling activity inspection scheduling must maintained multiple location,neutral,0.0,-4,duplicate scheduling activity inspection scheduling must maintained multiple location
DOCE Fire Prevention Bureau,"Large Volume of Documentation: Managing plans, inspections, corrections, and approvals is time-consuming.",large volume documentation managing plan inspection correction approval,positive,0.0,0,large volume documentation managing plan inspection correction approval
DOCE Fire Prevention Bureau,Permit Review Tracking: Monitoring project reviews requires manual follow-up.,permit review tracking monitoring project review requires manual,neutral,0.0,-3,permit review tracking monitoring project review requires manual
DOCE Fire Prevention Bureau,Property Identification Issues: Properties with multiple businesses or occupancies are difficult to manage.,property identification issue property multiple business occupancy difficult manage,negative,-0.3612,-7,property identification issue property multiple business occupancy difficult manage
DOCE Fire Prevention Bureau,Address Matching Challenges: Searches require exact addresses.,address matching challenge search require exact address,positive,0.0772,-1,address matching challenge search require exact address
LAW Law,"Incomplete Case Documentation: Legal work cannot proceed when notices, Nail & Mail documentation, photographs, or inspection records have not been uploaded into IPS.",incomplete case documentation legal work proceed notice nail mail documentation photograph inspection record uploaded ip,positive,0.128,-6,incomplete case documentation legal work proceed notice nail mail documentation photograph inspection record uploaded ip
LAW Law,"Underutilized System: IPS is valuable when fully utilized, but inconsistent use by Code Enforcement results in incomplete notes and missing documentation.",underutilized system ip valuable fully utilized inconsistent use code enforcement result incomplete note missing documentation,positive,-0.1901,-6,underutilized system ip valuable fully utilized inconsistent use code enforcement result incomplete note missing documentation
LAW Law,Limited Property Overview: IPS cannot easily combine multiple complaints and violations into a comprehensive property-level view.,limited property overview ip easily combine multiple complaint violation comprehensive view,negative,-0.7927,-7,limited property overview ip easily combine multiple complaint violation comprehensive view
LAW Law,External Data Dependency: Water records require AS400 and tax information requires external systems because they are not integrated into IPS.,external data dependency water record require tax information requires external system integrated ip,neutral,0.0,-2,external data dependency water record require tax information requires external system integrated ip
LAW Law,Limited Document Export: IPS information cannot easily transfer into Microsoft Word for preparing legal documents.,limited document export ip information easily transfer microsoft word preparing legal document,positive,-0.3476,-5,limited document export ip information easily transfer microsoft word preparing legal document
LAW Law,Difficult Record Review: The Action Notes layout makes reviewing case history difficult because information is not presented clearly.,difficult record review action note layout make reviewing case history difficult information presented clearly,negative,-0.7398,-3,difficult record review action note layout make reviewing case history difficult information presented clearly
LAW Law,"Documentation Quality: Court cases are delayed when inspectors do not consistently upload documents, photographs, or complete notes.",documentation quality court case delayed inspector consistently upload document photograph complete note,negative,-0.2263,-2,documentation quality court case delayed inspector consistently upload document photograph complete note
LAW Law,"Manual Legal Research: Ownership, tax, and legal research require multiple external systems including Westlaw, County Clerk, eTax, and AS400",manual legal research ownership tax legal research require multiple external system including westlaw county clerk etax,positive,0.25,-7,manual legal research ownership tax legal research require multiple external system including westlaw county clerk etax
LAW Law,Evidence Collection: Gathering exhibits and supporting documentation requires manual coordination across multiple departments and file repositories.,evidence collection gathering exhibit supporting documentation requires manual coordination across multiple department file repository,positive,0.4404,-5,evidence collection gathering exhibit supporting documentation requires manual coordination across multiple department file repository
LAW Law,Cross-Department Dependencies: Legal work depends on inspectors completing investigations and providing complete documentation before cases can proceed.,dependency legal work depends inspector completing investigation providing complete documentation case proceed,positive,0.128,0,dependency legal work depends inspector completing investigation providing complete documentation case proceed
BAA BAA Ops,Manual Ticket Review: Staff has to open individual cases to determine whether violations or fines exists.,manual ticket review staff open individual case determine whether violation fine exists,negative,-0.5267,-3,manual ticket review staff open individual case determine whether violation fine exists
BAA BAA Ops,Manual Fee Processing: Default fees must be applied individually rather than in bulk.,manual fee processing default fee must applied individually rather bulk,neutral,0.0,-3,manual fee processing default fee must applied individually rather bulk
BAA BAA Ops,Case Note Management: Case notes become difficult to follow when multiple rounds of tickets exist for the same case.,case note management case note become difficult follow multiple round ticket exist case,negative,-0.3612,-5,case note management case note become difficult follow multiple round ticket exist case
BAA BAA Ops,Limited Search Functionality: Not enough filtering options are available when searching addresses and multiple cases.,limited search functionality enough filtering option available searching address multiple case,negative,-0.2263,-5,limited search functionality enough filtering option available searching address multiple case
BAA BAA Ops,Complex Navigation: IPS contains numerous tabs and action buttons that are rarely used.,complex navigation ip contains numerous tab action button rarely used,neutral,0.0,0,complex navigation ip contains numerous tab action button rarely used
BAA BAA Ops,Inspection Information: The inspection tab contains information that BAA Operations staff does not use,inspection information inspection tab contains information baa operation staff use,neutral,0.0,0,inspection information inspection tab contains information baa operation staff use
BAA BAA Ops,Limited Action Options: Additional action and dropdown options are needed for common BAA activities.,limited action option additional action dropdown option needed common baa activity,negative,-0.2263,-2,limited action option additional action dropdown option needed common baa activity
BAA BAA Ops,Manual Document Preparation: Decisions are drafted in Word and converted to PDF before uploading.,manual document preparation decision drafted word converted pdf uploading,neutral,0.0,-3,manual document preparation decision drafted word converted pdf uploading
BAA BAA Ops,Ownership Research: Ownership information requires searching AS400.,ownership research ownership information requires searching,neutral,0.0,-2,ownership research ownership information requires searching
BAA BAA Ops,"Multiple Systems: Daily work requires switching between IPS, Word, Outlook, Foxit, Westlaw, and AS400.",multiple system daily work requires switching ip word outlook foxit westlaw,neutral,0.0,-2,multiple system daily work requires switching ip word outlook foxit westlaw
BAA BAA Ops,Bulk Fee Processing: Allow multiple default fees to be applied at one time.,bulk fee processing allow multiple default fee applied one time,positive,0.2263,-2,bulk fee processing allow multiple default fee applied one time
BAA BAA Ops,Improved Search Capabilities: Provide additional filters for addresses and multiple cases.,improved search capability provide additional filter address multiple case,positive,0.4767,-3,improved search capability provide additional filter address multiple case
BAA BAA Ops,Improved Case Notes: Organize case notes so multiple rounds of tickets are easier to distinguish.,improved case note organize case note multiple round ticket easier distinguish,positive,0.7096,-2,improved case note organize case note multiple round ticket easier distinguish
BAA BAA Ops,Simplified Navigation: Remove unnecessary tabs and action buttons while keeping commonly used functions.,simplified navigation remove unnecessary tab action button keeping commonly used function,neutral,0.0,0,simplified navigation remove unnecessary tab action button keeping commonly used function
