department,focus_group,expectations,source,processed_text,sentiment,categorize_text,semantic_category,semantic_score,keyword_category,keyword_score,Category,Category_Method,Category_Confidence,Cluster_Raw,Cluster,Assign_Status,Cluster_Label
NBD,NBD Data Team,"(to keep) Zoning, Codes, Permits, Fire",worksheet,"(to keep) Zoning, Codes, Permits, Fire",positive,"(to keep) Zoning, Codes, Permits, Fire",Workflow & Business Processes,0.3576201,Case Management,8.0,Case Management,keyword,8.0,12,12,HDBSCAN cluster,Case Management
NBD,NBD Data Team,(to keep) Ability to pull data with SQL,worksheet,(to keep) Ability to pull data with SQL,positive,(to keep) Ability to pull data with SQL,Data Management & Visibility,0.4443093,Data Management & Visibility,2.0,Data Management & Visibility,keyword_semantic_agree,2.4443092942237854,1,1,HDBSCAN cluster,Case Management
NBD,NBD Data Team,"(to keep) Customizability for actions, attributes, etc. (eg, “Rental Registry Required”)",worksheet,"(to keep) Customizability for actions, attributes, etc. (eg, “Rental Registry Required”)",negative,"(to keep) Customizability for actions, attributes, etc. (eg, “Rental Registry Required”)",Records & Document Management,0.23248054,User Experience & Performance,8.0,User Experience & Performance,keyword,8.0,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) Approval groups so that case management & review happens in the same system,worksheet,(to keep) Approval groups so that case management & review happens in the same system,negative,(to keep) Approval groups so that case management & review happens in the same system,Case Management,0.43562672,Case Management,7.0,Case Management,keyword_semantic_agree,7.435626715421677,1,1,HDBSCAN cluster,Case Management
NBD,NBD Internal,(to keep) Allow all users to leave notes “codes staff notes”,worksheet,(to keep) Allow all users to leave notes “codes staff notes”,positive,(to keep) Allow all users to leave notes “codes staff notes”,Training & Documentation,0.2904003,Records & Document Management,6.0,Records & Document Management,keyword,6.0,7,7,HDBSCAN cluster,Records & Document Management
NBD,NBD Internal,(to keep) Interdepartmental access,worksheet,(to keep) Interdepartmental access,positive,(to keep) Interdepartmental access,Communication & Collaboration,0.42766267,Workflow & Business Processes,2.0,Communication & Collaboration,semantic,0.4276626706123352,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Internal,"(to keep) Easy interface, can see whole story at once",worksheet,"(to keep) Easy interface, can see whole story at once",positive,"(to keep) Easy interface, can see whole story at once",Reporting & Decision Support,0.1751822,System Integration,2.0,System Integration,keyword_low,2.0,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Internal,(to keep) Tickle dates / reminders,worksheet,(to keep) Tickle dates / reminders,positive,(to keep) Tickle dates / reminders,Scheduling & Resource Management,0.36310712,Scheduling & Resource Management,12.0,Scheduling & Resource Management,keyword_semantic_agree,12.363107115030289,0,0,HDBSCAN cluster,Scheduling & Resource Management
NBD,NBD Internal,(to keep) Ability to add / remove entry option at will,worksheet,(to keep) Ability to add / remove entry option at will,positive,(to keep) Ability to add / remove entry option at will,System Integration,0.16243207,Other,0.0,System Integration,semantic_fallback,0.16243207454681396,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Internal,(to keep) Ability to pull data from multiple cases at once,worksheet,(to keep) Ability to pull data from multiple cases at once,positive,(to keep) Ability to pull data from multiple cases at once,Case Management,0.3917358,Data Management & Visibility,5.0,Data Management & Visibility,keyword,5.0,1,1,HDBSCAN cluster,Case Management
