expectations,department,focus_group,source,final_category,sentiment,Category,Category_Confidence,Category_Method,Cluster_Label,Cluster,Cluster_Size,Cluster_Purity,Cluster_Purity_Adj,Category_Confidence,Category_Confidence_Norm,Assign_Status
(to keep) Documents can be saved in the system,DOCE,Building Inspectors,worksheet,Records & Document Management,negative,Records & Document Management,4.53224378824234,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,4.53224378824234,0.45285754764297015,HDBSCAN cluster
The same as AS400.,DOCE,Building Inspectors,worksheet,System Integration,negative,System Integration,2.0,keyword_low,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,2.0,0.19983812380869032,HDBSCAN cluster
If it could hold everything I need.,DOCE,Building Inspectors,worksheet,Records & Document Management,positive,Records & Document Management,0.03736367076635361,semantic_fallback,System Integration,6,13,0.6923076923076923,0.5267489711934156,0.03736367076635361,0.0037333429322768574,HDBSCAN cluster
(to keep) Reminder dates,DOCE,Building Inspectors,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,7.3697695434093475,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,7.3697695434093475,0.7363804592286761,HDBSCAN cluster
Have a note that says pass instead calling permits,DOCE,Building Inspectors,worksheet,Case Management,negative,Case Management,6.0,keyword,Case Management,12,21,0.42857142857142855,0.37891737891737887,6.0,0.5995143714260709,Soft-assigned
Have that in IPS,DOCE,Building Inspectors,worksheet,System Integration,positive,System Integration,0.27689602971076965,semantic_fallback,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.27689602971076965,0.027667191533737787,HDBSCAN cluster
(to keep) I think all of it is very good,DOCE,Building Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.10061050951480865,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.10061050951480865,0.010052907728437872,HDBSCAN cluster
Just elevator certificate,DOCE,Building Inspectors,worksheet,Records & Document Management,neutral,Records & Document Management,4.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.0,0.39967624761738063,Soft-assigned
One system for everything,DOCE,CPO-Coordinators,worksheet,System Integration,positive,System Integration,0.3893985152244568,semantic,System Integration,6,13,0.6923076923076923,0.5267489711934156,0.3893985152244568,0.038908334348172584,HDBSCAN cluster
Get rid of Camino!,DOCE,CPO-Coordinators,worksheet,System Integration,negative,System Integration,2.0893171206116676,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,2.0893171206116676,0.2087626067122054,HDBSCAN cluster
(to keep) I like IPS and would continue using – it's easy,DOCE,CPO-Coordinators,worksheet,System Integration,positive,System Integration,0.38760486245155334,semantic,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.38760486245155334,0.038729114245721945,HDBSCAN cluster
(to keep) Record keeping and finding is simple and effiiceint,DOCE,CPO-Coordinators,worksheet,Records & Document Management,positive,Records & Document Management,6.484131723642349,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,6.484131723642349,0.6478883590905481,HDBSCAN cluster
(to keep) Scheduling inspections is easy,DOCE,CPO-Coordinators,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,13.365281522274017,keyword_semantic_agree,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,13.365281522274017,1.0,HDBSCAN cluster
"(to keep) Can print reviewer's comments easily, can print standard notices easily, saves all printed documents automatically",DOCE,CPO-Coordinators,worksheet,Records & Document Management,positive,Records & Document Management,4.360075354576111,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,4.360075354576111,0.43565463926150005,HDBSCAN cluster
"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?",DOCE,CPO-Coordinators,worksheet,Records & Document Management,negative,Records & Document Management,14.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,14.0,1.0,HDBSCAN cluster
Migrate list (tracking) out of IPS (this can be an excel file),DOCE,CPO-Coordinators,worksheet,Data Management & Visibility,negative,Data Management & Visibility,4.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,4.0,0.39967624761738063,HDBSCAN cluster
Online system to schedule inspections (already used elsewhere),DOCE,CPO-Coordinators,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,8.375719636678696,keyword_semantic_agree,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,8.375719636678696,0.8368940488707379,HDBSCAN cluster
Some owners have numerous accounts in IPS,DOCE,CPO-Coordinators,worksheet,User Experience & Performance,negative,User Experience & Performance,2.0,keyword_low,System Integration,2,34,0.4117647058823529,0.37132003798670465,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Working with different departments and giving “tickle” dates,DOCE,CPO-Coordinators,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,7.391263782978058,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,7.391263782978058,0.7385281434827289,HDBSCAN cluster
I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,DOCE,Housing Inspectors,worksheet,System Integration,positive,System Integration,0.18525183200836182,semantic_fallback,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.18525183200836182,0.018510189270336853,HDBSCAN cluster
(to keep) I think IPS is a good system that is user friendly,DOCE,Housing Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,7.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,7.0,0.6994334333304161,HDBSCAN cluster
Make it so it's to a scroll to choose and action,DOCE,Housing Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,4.012092292308807,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,4.012092292308807,0.4008844981211498,HDBSCAN cluster
Make an action that saves clicks,DOCE,Housing Inspectors,worksheet,User Experience & Performance,negative,User Experience & Performance,6.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,6.0,0.5995143714260709,HDBSCAN cluster
Make a case label for drive by/calls/waiting for owner,DOCE,Housing Inspectors,worksheet,Case Management,negative,Case Management,2.412884086370468,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,2.412884086370468,0.24109311439406012,HDBSCAN cluster
Case could tell you when you open it if it is in high risk area,DOCE,Housing Inspectors,worksheet,Case Management,positive,Case Management,2.2228034883737564,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,2.2228034883737564,0.22210043935601173,HDBSCAN cluster
(to keep) Chronological notes/actions in case,DOCE,Housing Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,8.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,8.0,0.7993524952347613,Soft-assigned
"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",DOCE,Housing Inspectors,worksheet,Data Management & Visibility,negative,Data Management & Visibility,3.0,keyword_low,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,3.0,0.29975718571303545,HDBSCAN cluster
Batch violation numbers when saved,DOCE,Housing Inspectors,worksheet,Case Management,negative,Case Management,3.0,keyword_low,Case Management,11,30,0.6666666666666666,0.5957671957671957,3.0,0.29975718571303545,HDBSCAN cluster
Ability to add custom shortcuts,DOCE,Housing Inspectors,worksheet,System Integration,positive,System Integration,0.1242838129401207,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.1242838129401207,0.012418321998871973,HDBSCAN cluster
Create a global address book,DOCE,Housing Inspectors,worksheet,Records & Document Management,positive,Records & Document Management,2.2217087894678116,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,2.2217087894678116,0.221991058068262,HDBSCAN cluster
Eliminate unneeded actions i.e. (BAA Ticket Rounds),DOCE,Housing Inspectors,worksheet,User Experience & Performance,neutral,User Experience & Performance,8.0,keyword,Case Management,3,14,0.5,0.4132553606237817,8.0,0.7993524952347613,HDBSCAN cluster
(to keep) Separation of cases per property,DOCE,Housing Inspectors,worksheet,Case Management,positive,Case Management,4.355027884244919,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.355027884244919,0.43515030076101735,HDBSCAN cluster
Stats,DOCE,Housing Inspectors,worksheet,Reporting & Decision Support,positive,Reporting & Decision Support,0.3686276078224182,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.3686276078224182,0.03683292476565887,HDBSCAN cluster
Cases without inspection date,DOCE,Housing Inspectors,worksheet,Case Management,positive,Case Management,6.314053028821945,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,6.314053028821945,0.630894255454178,HDBSCAN cluster
Cases set to “needs review”,DOCE,Housing Inspectors,worksheet,Case Management,negative,Case Management,4.396373450756073,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.396373450756073,0.4392815109807156,HDBSCAN cluster
(IT or IPS focus),DOCE,Housing Inspectors,worksheet,System Integration,positive,System Integration,0.37943097949028015,semantic,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.37943097949028015,0.03791238752811562,HDBSCAN cluster
(to keep) It's pretty good for me,DOCE,Housing Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.07881396263837814,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.07881396263837814,0.007875017211790852,HDBSCAN cluster
(to keep) Information update across cases,DOCE,Housing Inspectors,worksheet,Case Management,positive,Case Management,4.471401363611221,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.471401363611221,0.446778229649843,HDBSCAN cluster
(to keep) Laptop use would be great in field,DOCE,Housing Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,4.0,keyword,Noise / unclustered,-1,17,,,4.0,0.39967624761738063,Unclustered
Bring back laptops so we can update cases in field,DOCE,Housing Inspectors,worksheet,Case Management,negative,Case Management,4.271682649850845,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.271682649850845,0.42682252312616376,HDBSCAN cluster
Issues connecting to IPS remotely,DOCE,Housing Inspectors,worksheet,Communication & Collaboration,negative,Communication & Collaboration,4.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,4.0,0.39967624761738063,HDBSCAN cluster
"I can complete my function by only opening one case at a time, but it slows me down",DOCE,Office Managers,worksheet,User Experience & Performance,negative,User Experience & Performance,7.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,7.0,0.6994334333304161,HDBSCAN cluster
"(to keep) The ability to click within a case, directs to Image Mate button is very helpful",DOCE,Office Managers,worksheet,User Experience & Performance,positive,User Experience & Performance,7.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,7.0,0.6994334333304161,HDBSCAN cluster
"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:",DOCE,Office Managers,worksheet,Workflow & Business Processes,negative,Workflow & Business Processes,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
"Because if sometimes doesn't take an update,",DOCE,Office Managers,worksheet,User Experience & Performance,negative,User Experience & Performance,0.21031944453716278,semantic_fallback,Noise / unclustered,-1,17,,,0.21031944453716278,0.021014921598396255,Unclustered
Can't tell who is connected to who,DOCE,Office Managers,worksheet,Communication & Collaboration,negative,Communication & Collaboration,4.267938166856766,keyword_semantic_agree,Noise / unclustered,-1,17,,,4.267938166856766,0.42644837789807855,Unclustered
Remove tab because it has nothing to do with us,DOCE,Office Managers,worksheet,User Experience & Performance,negative,User Experience & Performance,3.0624804347753525,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,3.0624804347753525,0.30600017214316433,HDBSCAN cluster
Make it still “checkable” but have address remain updated,DOCE,Office Managers,worksheet,Records & Document Management,negative,Records & Document Management,2.0,keyword_low,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Print queue – organization of notices,DOCE,Office Managers,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,0.28257131576538086,semantic_fallback,Records & Document Management,7,30,0.3,0.2841269841269841,0.28257131576538086,0.028234260792353354,HDBSCAN cluster
(to keep) Parcel information – showing information,DOCE,Office Managers,worksheet,Records & Document Management,negative,Records & Document Management,0.35424941778182983,semantic,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,0.35424941778182983,0.035396269504920884,HDBSCAN cluster
(to keep) Complaint search – search by violation numbers?,DOCE,Office Managers,worksheet,Case Management,negative,Case Management,7.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,7.0,0.6994334333304161,HDBSCAN cluster
Ensure this information can be automatically put into new cases so it is not forgotten,DOCE,Office Managers,worksheet,Case Management,positive,Case Management,4.429385095834732,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.429385095834732,0.4425800035888944,HDBSCAN cluster
"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",DOCE,Office Managers,worksheet,Workflow & Business Processes,negative,Workflow & Business Processes,8.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,8.0,0.7993524952347613,HDBSCAN cluster
(to keep) Search by complaint number,DOCE,Office Managers,worksheet,Case Management,negative,Case Management,4.25409010052681,keyword_semantic_agree,Case Management,11,30,0.6666666666666666,0.5957671957671957,4.25409010052681,0.4250646921012002,HDBSCAN cluster
(to keep) Address book & searching by property owner,DOCE,Office Managers,worksheet,User Experience & Performance,negative,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
Water & Tax records for periodic inspections,DOCE,Office Managers,worksheet,Case Management,negative,Case Management,7.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,7.0,0.6994334333304161,HDBSCAN cluster
Consolidate to functioning system,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,System Integration,neutral,System Integration,0.35187044739723206,semantic,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,0.35187044739723206,0.035158565015793654,HDBSCAN cluster
(to keep) Ability to keep track of kick out inspections,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Case Management,positive,Case Management,4.0,keyword,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,4.0,0.39967624761738063,HDBSCAN cluster
In field timely acces: to information and modification of cases,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Case Management,positive,Case Management,4.415819048881531,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.415819048881531,0.44122449690358023,HDBSCAN cluster
Have camino and outlook talk to each other,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,3.0,keyword_low,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,3.0,0.29975718571303545,HDBSCAN cluster
Use IPS when permit is pulled,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Case Management,negative,Case Management,3.0,keyword_low,System Integration,2,34,0.4117647058823529,0.37132003798670465,3.0,0.29975718571303545,HDBSCAN cluster
(to keep) When you issue certificate of completion it emails the contractor/homeowner,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Records & Document Management,negative,Records & Document Management,4.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.0,0.39967624761738063,Soft-assigned
(to keep) Can upload pictures easily using the app,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Records & Document Management,positive,Records & Document Management,0.18908913433551788,semantic_fallback,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,0.18908913433551788,0.01889360891910965,HDBSCAN cluster
Get rid of it,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.10674144327640533,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.10674144327640533,0.010665504878494292,HDBSCAN cluster
Get rid of it,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.10674144327640533,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.10674144327640533,0.010665504878494292,HDBSCAN cluster
Get rid of it,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.10674144327640533,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.10674144327640533,0.010665504878494292,HDBSCAN cluster
(to keep) layout,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Communication & Collaboration,positive,Communication & Collaboration,0.13980215787887573,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.13980215787887573,0.013968900467460419,HDBSCAN cluster
Add a tickle date option to the system,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Scheduling & Resource Management,neutral,Scheduling & Resource Management,7.2846276462078094,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,7.2846276462078094,0.7278731607315423,HDBSCAN cluster
"(to keep) Again, being able to have future tickle dates",DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,7.255469709634781,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,7.255469709634781,0.7249597270620989,HDBSCAN cluster
IPS works better than Camino,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,System Integration,positive,System Integration,2.276055872440338,keyword_semantic_agree,System Integration,2,34,0.4117647058823529,0.37132003798670465,2.276055872440338,0.22742136761611448,HDBSCAN cluster
Hiring qualified people and train them,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,Training & Documentation,positive,Training & Documentation,5.423629939556122,keyword_semantic_agree,Training & Documentation,15,17,0.35294117647058826,0.2798821548821549,5.423629939556122,0.541924015676768,HDBSCAN cluster
(to keep) Don't use it,DOCE,Permit/Commercial/Electrical Inspectors,worksheet,User Experience & Performance,negative,User Experience & Performance,0.17599602043628693,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.17599602043628693,0.01758535726089175,HDBSCAN cluster
Consolidate /merge data and information,DOCE,Supervisors,worksheet,Data Management & Visibility,negative,Data Management & Visibility,5.392712622880936,keyword_semantic_agree,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,5.392712622880936,0.5388347863979838,HDBSCAN cluster
?,DOCE,Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.041484154760837555,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.041484154760837555,0.004145057827597562,Soft-assigned
"Migration to one place (microfrch, scans, shared drives, etc.)",DOCE,Supervisors,worksheet,Data Management & Visibility,negative,Data Management & Visibility,4.0,keyword,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,4.0,0.39967624761738063,HDBSCAN cluster
Artificial Intelligence,DOCE,Supervisors,worksheet,Reporting & Decision Support,negative,Reporting & Decision Support,0.20763219892978668,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.20763219892978668,0.020746414538200662,HDBSCAN cluster
"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",DOCE,Supervisors,worksheet,System Integration,negative,System Integration,0.4276357889175415,semantic,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,0.4276357889175415,0.04272896686536531,HDBSCAN cluster
Better reporting,DOCE,Supervisors,worksheet,Reporting & Decision Support,positive,Reporting & Decision Support,4.4648783802986145,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,4.4648783802986145,0.4461264592764296,HDBSCAN cluster
?,DOCE,Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.041484154760837555,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.041484154760837555,0.004145057827597562,Soft-assigned
"(to keep) Case notes, photo upload",DOCE,Supervisors,worksheet,Records & Document Management,negative,Records & Document Management,8.441160321235657,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,8.441160321235657,0.8434328206820476,HDBSCAN cluster
"(to keep) Inspection dates, tickle dates",DOCE,Supervisors,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,10.368984252214432,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,10.368984252214432,1.0,HDBSCAN cluster
Not sure.,DOCE,Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.07201889902353287,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.07201889902353287,0.007196060829815163,Soft-assigned
?,DOCE,Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.041484154760837555,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.041484154760837555,0.004145057827597562,Soft-assigned
"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",DOCE,Supervisors,worksheet,Data Management & Visibility,positive,Data Management & Visibility,12.0,keyword,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,12.0,1.0,HDBSCAN cluster
"Some addresses on the property are not the same in assessment records, so contractors get frsutrated",DOCE,Supervisors,worksheet,Records & Document Management,negative,Records & Document Management,9.0,keyword,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,9.0,0.8992715571391064,Soft-assigned
(to keep) Drop Box Function,DOCE,Supervisors,worksheet,Records & Document Management,negative,Records & Document Management,0.11701234430074692,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.11701234430074692,0.01169176367375888,HDBSCAN cluster
(to keep) Votes section,DOCE,Supervisors,worksheet,Reporting & Decision Support,positive,Reporting & Decision Support,0.17060492932796478,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.17060492932796478,0.017046684494707344,HDBSCAN cluster
Central software for all Code,DOCE,Supervisors,worksheet,System Integration,negative,System Integration,0.3261108100414276,semantic,System Integration,6,13,0.6923076923076923,0.5267489711934156,0.3261108100414276,0.03258468621620555,HDBSCAN cluster
(to keep) Ease of use,DOCE,Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,0.3624683618545532,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.3624683618545532,0.03621749868651168,HDBSCAN cluster
Data migration to one system for historical records.,DOCE,Zoning,worksheet,Data Management & Visibility,negative,Data Management & Visibility,10.373459964990616,keyword_semantic_agree,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,10.373459964990616,1.0,HDBSCAN cluster
Digitization of all records timely,DOCE,Zoning,worksheet,Records & Document Management,positive,Records & Document Management,7.3687295615673065,keyword_semantic_agree,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,7.3687295615673065,0.7362765452186218,HDBSCAN cluster
Enterprise wide GIS system,DOCE,Zoning,worksheet,System Integration,negative,System Integration,2.4240063428878784,keyword_semantic_agree,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,2.4240063428878784,0.24220443983153922,HDBSCAN cluster
(to keep) Some old zoning projects are there.,DOCE,Zoning,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,0.2539130449295044,semantic_fallback,Case Management,12,21,0.42857142857142855,0.37891737891737887,0.2539130449295044,0.025370753254631923,HDBSCAN cluster
(to keep) SOCPA put old variance and conditional uses in IPS,DOCE,Zoning,worksheet,System Integration,negative,System Integration,0.14947547018527985,semantic_fallback,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.14947547018527985,0.014935448758624075,HDBSCAN cluster
See notes from my code enforcement worksheet - [PERSON],DOCE,Zoning,worksheet,Records & Document Management,negative,Records & Document Management,6.0,keyword,Case Management,12,21,0.42857142857142855,0.37891737891737887,6.0,0.5995143714260709,Soft-assigned
More regular updates to speadsheet,DOCE,Zoning,worksheet,Scheduling & Resource Management,neutral,Scheduling & Resource Management,0.1942305862903595,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.1942305862903595,0.019407337975263683,HDBSCAN cluster
"The items not on IPS or OnBase, if not in basement file, can't be found",DOCE,Zoning,worksheet,Records & Document Management,negative,Records & Document Management,2.1591416597366333,keyword_semantic_agree,System Integration,2,34,0.4117647058823529,0.37132003798670465,2.1591416597366333,0.2157394091594752,HDBSCAN cluster
(to keep) Parcel history database is in chronological order,DOCE,Zoning,worksheet,Data Management & Visibility,positive,Data Management & Visibility,6.227297261357307,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,6.227297261357307,0.6222257005543198,HDBSCAN cluster
"(to keep) Straightforward, easy to learn",DOCE,Zoning,worksheet,Training & Documentation,positive,Training & Documentation,0.3307281732559204,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.3307281732559204,0.0330460488170693,HDBSCAN cluster
More files uploaded / transferred to IPS,DOCE,Zoning,worksheet,Records & Document Management,negative,Records & Document Management,4.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) Direct file opening,DOCE,Zoning,worksheet,Records & Document Management,negative,Records & Document Management,2.1602955013513565,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,2.1602955013513565,0.21585469993120454,HDBSCAN cluster
Change workflow,DOCE,Zoning,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,5.510229706764221,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,5.510229706764221,0.5505769831773358,HDBSCAN cluster
Dedicated person,DOCE,Zoning,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,0.146759495139122,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.146759495139122,0.014664071079856374,HDBSCAN cluster
(to keep) Searching for inactive parcel,DOCE,Zoning,worksheet,User Experience & Performance,negative,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) filters,DOCE,Zoning,worksheet,Records & Document Management,positive,Records & Document Management,2.0,keyword_low,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,2.0,0.19983812380869032,HDBSCAN cluster
Onboarding training (competative),DOCE,Zoning,worksheet,Training & Documentation,positive,Training & Documentation,14.527848184108734,keyword_semantic_agree,Training & Documentation,15,17,0.35294117647058826,0.2798821548821549,14.527848184108734,1.0,HDBSCAN cluster
Making the code more accessible or encouraging email communications rather than calling,DOCE,Zoning,worksheet,Communication & Collaboration,negative,Communication & Collaboration,4.361983269453049,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.361983269453049,0.4358452763261971,HDBSCAN cluster
"(to keep) The ability to filter by type, permit, project, complaint, etc.",DOCE,Zoning,worksheet,Case Management,positive,Case Management,7.0,keyword,Noise / unclustered,-1,17,,,7.0,0.6994334333304161,Unclustered
"(to keep) It's very terse, a lot of information is provided or most applications",DOCE,Zoning,worksheet,Data Management & Visibility,positive,Data Management & Visibility,3.0,keyword_low,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,3.0,0.29975718571303545,HDBSCAN cluster
"I wish all previous things that are in OnBase were in IPS. So, I didn't have to switch between those often",DOCE,Zoning,worksheet,System Integration,positive,System Integration,2.3548264503479004,keyword_semantic_agree,System Integration,2,34,0.4117647058823529,0.37132003798670465,2.3548264503479004,0.23529204986630123,HDBSCAN cluster
(to keep) Comment summary sheet,DOCE,Zoning,worksheet,Communication & Collaboration,neutral,Communication & Collaboration,3.0,keyword_low,Records & Document Management,7,30,0.3,0.2841269841269841,3.0,0.29975718571303545,HDBSCAN cluster
