Focus Group,Expectation,processed_expectation,label,vader_sentiment
DOCE Office Managers,Provide more consistent user interface behavior.,provide consistent user interface behavior,neutral,neutral
DOCE Office Managers,Reduce crashes and memory-related errors.,reduce crash error,negative,negative
DOCE Office Managers,Improve loading and response times.,improve loading response time,positive,positive
DOCE Office Managers,Support multitasking without affecting system stability.,support multitasking without affecting system stability,positive,positive
DOCE Office Managers,Reduce reliance on multiple disconnected systems.,reduce reliance multiple disconnected system,neutral,neutral
DOCE Office Managers,"Improve integration between IPS, Camino, GIS, and AS400.",improve integration ip camino gi,positive,positive
DOCE Office Managers,Create a more unified view of property and inspection information.,create unified view property inspection information,positive,positive
DOCE Office Managers,Eliminate duplicate data entry where possible.,eliminate duplicate data entry possible,neutral,neutral
DOCE Office Managers,Resolve phone system issues causing dropped calls.,resolve phone system issue causing dropped call,positive,positive
DOCE Office Managers,Improve communication tools for public interactions.,improve communication tool public interaction,positive,positive
DOCE Office Managers,Better support high-volume scheduling and customer service activities.,better support scheduling customer service activity,positive,positive
DOCE Office Managers,Improve access to ownership and property information.,improve access ownership property information,positive,positive
DOCE Office Managers,Make relevant property information easier to locate and verify.,make relevant property information easier locate verify,positive,positive
DOCE Office Managers,Add spell-check and grammar-check functionality.,add functionality,neutral,neutral
DOCE Office Managers,Improve visual organization of records and attachments.,improve visual organization record attachment,positive,positive
DOCE Office Managers,Support dark mode and modern user interface features.,support dark mode modern user interface feature,positive,positive
DOCE Office Managers,Make frequently used information easier to identify and access.,make frequently used information easier identify access,positive,positive
DOCE Supervisors,Automated Case Alerts: Alert supervisors when cases become inactive.,automated case alert alert supervisor case become inactive,positive,positive
DOCE Supervisors,"Missed Case Identification: Automatically identify cases lacking inspection dates, assignments, or follow-up actions.",missed case identification automatically identify case lacking inspection date assignment action,negative,negative
DOCE Supervisors,Improved Case Tracking: Better visibility into case status and workflow progression.,improved case tracking better visibility case status workflow progression,positive,positive
DOCE Supervisors,Case Cleanup Tools: Ability to close and manage large volumes of historical cases.,case cleanup tool ability close manage large volume historical case,positive,positive
DOCE Supervisors,"Single Parcel View: Consolidate permits, violations, zoning records, tax information, ownership records, and historical data into a unified property record.",single parcel view consolidate permit violation zoning record tax information ownership record historical data unified property record,negative,negative
DOCE Supervisors,Improved Parcel History: Better display and organization of parcel-related information.,improved parcel history better display organization information,positive,positive
DOCE Supervisors,Integrated Property Research: Allow users to conduct comprehensive property research from a single screen.,integrated property research allow user conduct comprehensive property research single screen,positive,positive
DOCE Supervisors,Enhanced Reporting: More powerful reporting and dashboard capabilities.,enhanced reporting powerful reporting dashboard capability,positive,positive
DOCE Supervisors,"Trend Analysis: Ability to identify patterns, recurring offenders, and enforcement trends.",trend analysis ability identify pattern recurring offender enforcement trend,negative,negative
DOCE Supervisors,Performance Metrics: Better operational monitoring and workload analysis.,performance metric better operational monitoring workload analysis,positive,positive
DOCE Supervisors,Simplified Navigation: Reduce complexity and training requirements.,simplified navigation reduce complexity training requirement,neutral,neutral
DOCE Supervisors,Role-Based Dashboards: Tailored views for supervisors and managers.,dashboard tailored view supervisor manager,neutral,neutral
DOCE Supervisors,Batch Processing: Ability to update and manage multiple cases simultaneously.,batch processing ability update manage multiple case simultaneously,positive,positive
DOCE Supervisors,Centralized Platform: Reduce reliance on multiple systems.,centralized platform reduce reliance multiple system,neutral,neutral
DOCE Supervisors,"Unified Database: Consolidate IPS, Camino, AS400, OnBase, GIS, and historical records.",unified database consolidate ip camino onbase gi historical record,positive,positive
DOCE Supervisors,Enterprise Data Management: Establish a single source of truth for all property information.,enterprise data management establish single source truth property information,positive,positive
DOCE Supervisors,Enterprise GIS Connectivity: Direct integration with County GIS and parcel data.,enterprise gi connectivity direct integration county gi parcel data,neutral,neutral
DOCE Supervisors,Parcel-Centric Design: Build workflows around parcel-level information.,design build workflow around information,neutral,neutral
DOCE Supervisors,"AI-Assisted Research: Use AI to locate related properties, permits, violations, and ownership information.",research use ai locate related property permit violation ownership information,negative,negative
DOCE Supervisors,AI Reporting: Automatically generate summaries and trend analysis.,ai reporting automatically generate summary trend analysis,neutral,neutral
DOCE Supervisors,AI Data Discovery: Improve access to historical information and records.,ai data discovery improve access historical information record,positive,positive
DOCE Supervisors,Cloud-Based Access: Allow users to access information from anywhere.,access allow user access information anywhere,positive,positive
DOCE Supervisors,Mobile Functionality: Support field-based work from phones and tablets.,mobile functionality support work phone tablet,positive,positive
DOCE Supervisors,Real-Time Updates: Ensure information is immediately available across departments.,update ensure information immediately available across department,positive,positive
DOCE Supervisors,"Cross-Department Visibility: Shared access for Code Enforcement, Fire, Zoning, BAA, Law, and Permits.",visibility shared access code enforcement fire zoning baa law permit,neutral,neutral
DOCE Supervisors,Improved Workflow Integration: Eliminate duplicate work and disconnected processes.,improved workflow integration eliminate duplicate work disconnected process,positive,positive
DOCE Supervisors,"Historical Data Migration: Consolidate microfiche, scanned records, shared drives, and legacy systems into a single environment.",historical data migration consolidate microfiche scanned record shared drive legacy system single environment,positive,positive
DOCE Supervisors,"Modern, User-Friendly Platform: Easier to use than current systems.",modern platform easier use current system,positive,positive
DOCE Supervisors,"Scalable Architecture: Support future technologies, analytics, and operational growth.",scalable architecture support future technology analytics operational growth,positive,positive
DOCE Supervisors,"Comprehensive Property Lifecycle Management: Track a property from permit application through enforcement, compliance, and historical record retention.",comprehensive property lifecycle management track property permit application enforcement compliance historical record retention,positive,positive
DOCE Zoning,"Unified Property History: Provide a single property view containing zoning history, permits, ownership records, parcel history, and previous approvals.",unified property history provide single property view containing zoning history permit ownership record parcel history previous approval,positive,positive
DOCE Zoning,"Improved Search Capabilities: Enhance search functionality for parcels, addresses, projects, and historical zoning records.",improved search capability enhance search functionality parcel address project historical zoning record,positive,positive
DOCE Zoning,"Integrated Historical Records: Consolidate IPS, Camino, OnBase, and legacy records into one searchable repository.",integrated historical record consolidate ip camino onbase legacy record one searchable repository,neutral,neutral
DOCE Zoning,"Enhanced Workflow Visibility: Improve application tracking, project status visibility, and review coordination.",enhanced workflow visibility improve application tracking project status visibility review coordination,positive,positive
DOCE Zoning,"Improved User Experience: Simplify navigation while preserving valuable IPS features such as parcel history, comments, and project timelines.",improved user experience simplify navigation preserving valuable ip feature parcel history comment project timeline,positive,positive
DOCE Zoning,System Consolidation: Reduce reliance on legacy systems and physical archives by digitizing historical records.,system consolidation reduce reliance legacy system physical archive digitizing historical record,neutral,neutral
DOCE Zoning,Earlier Zoning Review: Integrate zoning reviews earlier into permit and Certificate of Use workflows.,earlier zoning review integrate zoning review earlier permit certificate use workflow,neutral,neutral
DOCE Zoning,Better Applicant Communication: Improve transparency by providing applicants with easier access to project status and zoning information.,better applicant communication improve transparency providing applicant easier access project status zoning information,positive,positive
DOCE Zoning,Enhanced Reporting & GIS Integration: Expand GIS capabilities and provide better reporting and dashboards for zoning projects.,enhanced reporting gi integration expand gi capability provide better reporting dashboard zoning project,positive,positive
LAW Law,"Complete Case Documentation: Require complete notes, notices, photographs, Nail & Mail documentation, and supporting evidence before cases are forwarded for legal review.",complete case documentation require complete note notice photograph nail mail documentation supporting evidence case forwarded legal review,positive,positive
LAW Law,"Integrated Property Information: Integrate water records, tax information, and ownership records directly into IPS to reduce reliance on external systems.",integrated property information integrate water record tax information ownership record directly ip reduce reliance external system,neutral,neutral
LAW Law,"Property-Level Case View: Provide consolidated property summaries that combine all complaints, violations, and enforcement history into a single view.",case view provide consolidated property summary combine complaint violation enforcement history single view,negative,negative
LAW Law,Improved Document Management: Improve Action Notes formatting and make supporting documents easier to locate and review.,improved document management improve action note formatting make supporting document easier locate review,positive,positive
LAW Law,Document Export Capability: Allow IPS information to transfer directly into Microsoft Word for legal document preparation.,document export capability allow ip information transfer directly microsoft word legal document preparation,positive,positive
LAW Law,Standardized Documentation Practices: Improve consistency in how inspectors document cases and upload evidence.,standardized documentation practice improve consistency inspector document case upload evidence,positive,positive
LAW Law,"Improved Interdepartmental Coordination: Strengthen communication between inspectors, supervisors, paralegals, and attorneys throughout the enforcement process.",improved interdepartmental coordination strengthen communication inspector supervisor paralegal attorney throughout enforcement process,positive,positive
LAW Law,Reduced Manual Research: Reduce the need to search multiple external systems by consolidating legal and property information.,reduced manual research reduce need search multiple external system consolidating legal property information,positive,positive
LAW Law,Improved Workflow Efficiency: Streamline the process from case referral through court filing by ensuring complete information is available at each stage.,improved workflow efficiency streamline process case referral court filing ensuring complete information available stage,positive,positive
