focus_group,pain_points,processed_text
CPC,BAA in the name of the person for whom the fine was sent,BAA in the name of the person for whom the fine was sent
CPC,If unpaid and sold to new owner – new owner not responsible for that fine but still shows up as fine against the property,If unpaid and sold to new owner – new owner not responsible for that fine but still shows up as fine against the property
CPC,Could pay it and sue civilly – technically new owner not responsible for it,Could pay it and sue civilly – technically new owner not responsible for it
CPC,Viki: BAA fines – BAA needs to update their fines timeline – about 6 months behind on updating those – unclear what the back up is due to,Viki: BAA fines – BAA needs to update their fines timeline – about 6 months behind on updating those – unclear what the back up is due to
CPC,"Vincent: Customers are confused, when they come to make payment without ticket, ask for duplicate paperwork – lot of staff have problem with pulling up oroginal ticket – listed under notes – there are so many attachments on the case – have to review each attachment on a case – has to go in pull up correct attachment for staff","Vincent: Customers are confused, when they come to make payment without ticket, ask for duplicate paperwork – lot of staff have problem with pulling up oroginal ticket – listed under notes – there are so many attachments on the case – have to review each attachment on a case – has to go in pull up correct attachment for staff"
CPC,Sometimes original ticket has original payment – have to go to the next one to find defaulted amount,Sometimes original ticket has original payment – have to go to the next one to find defaulted amount
CPC,Send to BAA when they need to verify the amount – not always sure if they’re due for another charge,Send to BAA when they need to verify the amount – not always sure if they’re due for another charge
CPC,Search by address – system slow to pull up cases,Search by address – system slow to pull up cases
CPC,Technology – Likes,Technology – Likes
CPC,"Many ways to search – address, owner name","Many ways to search – address, owner name"
CPC,Would like to see way to search by violation number,Would like to see way to search by violation number
CPC,Property addresses same in eTax – shared assessed parcel addresses,Property addresses same in eTax – shared assessed parcel addresses
CPC,Verify address on eTax before they go to IPS,Verify address on eTax before they go to IPS
CPC,Likes ability to see pictures – helpful for verifying violations,Likes ability to see pictures – helpful for verifying violations
CPC,Technology – Dislikes,Technology – Dislikes
CPC,Way to make violation number syntax different from complaint number?,Way to make violation number syntax different from complaint number?
DOCE Admin Aides,M: Unhandled exception error – entered complaint case and crashes,M: Unhandled exception error – entered complaint case and crashes
DOCE Admin Aides,IPS crash 2-3 times per day,IPS crash 2-3 times per day
DOCE Admin Aides,S: Scheduling,S: Scheduling
DOCE Admin Aides,When person supposed to be in a certain error,When person supposed to be in a certain error
DOCE Admin Aides,"Not all explicitly told at the same time who is doing what e.. Pat C. commercial electrical and building inspector supposed to be doing what Pat was doing, but no one aware","Not all explicitly told at the same time who is doing what e.. Pat C. commercial electrical and building inspector supposed to be doing what Pat was doing, but no one aware"
DOCE Admin Aides,"Periodic Insp module for Rental Registry – annoying, unorganized","Periodic Insp module for Rental Registry – annoying, unorganized"
DOCE Admin Aides,Inspector names not alphabetized,Inspector names not alphabetized
DOCE Admin Aides,Scheduling appointment – that is alphabetized,Scheduling appointment – that is alphabetized
DOCE Admin Aides,Inspection schedule and inspection note,Inspection schedule and inspection note
DOCE Admin Aides,Only use 2 out of the 20 options – actions in the drop-down in the periodic module,Only use 2 out of the 20 options – actions in the drop-down in the periodic module
DOCE Admin Aides,Default options in complaint module always pre-populated – would be helpful for it to autofill,Default options in complaint module always pre-populated – would be helpful for it to autofill
DOCE Admin Aides,"Each appointment – have to schedule in 2-3 places (Outlooks, Periodic module) - if all calendars could be auto-filled that would be helpful","Each appointment – have to schedule in 2-3 places (Outlooks, Periodic module) - if all calendars could be auto-filled that would be helpful"
DOCE Admin Aides,"CofU or CofI – would be nice if all inspectors could collaborate on it, rather than setting up individually","CofU or CofI – would be nice if all inspectors could collaborate on it, rather than setting up individually"
DOCE Admin Aides,"Building, Fire, Electrical – schedule each individually","Building, Fire, Electrical – schedule each individually"
DOCE Admin Aides,Our phones are on a time limit – 5min max – drops automatically – IT has known about this issue – people call back and yell because they think they hung up,Our phones are on a time limit – 5min max – drops automatically – IT has known about this issue – people call back and yell because they think they hung up
DOCE Admin Aides,4-5 properties scheduling inspections for – call will drop bc time consuming to schedule each one,4-5 properties scheduling inspections for – call will drop bc time consuming to schedule each one
DOCE Admin Aides,20 calls dropped between 4 of them one week,20 calls dropped between 4 of them one week
DOCE Admin Aides,20min wasted time due to phones,20min wasted time due to phones
DOCE Admin Aides,J: IPS crashing,J: IPS crashing
DOCE Admin Aides,Loud sighs,Loud sighs
DOCE Admin Aides,BAA ticketing – processes seem inconsist and stupid – BAA would send back a ticket with a minor correction i.e. period off or missing letter ‘t’ Scott,BAA ticketing – processes seem inconsist and stupid – BAA would send back a ticket with a minor correction i.e. period off or missing letter ‘t’ Scott
DOCE Admin Aides,Find ticket – make a single character edit,Find ticket – make a single character edit
DOCE Admin Aides,They could edit it on their end,They could edit it on their end
DOCE Admin Aides,"Problem bc inspector should sign, then inspector could edit it – delay by days","Problem bc inspector should sign, then inspector could edit it – delay by days"
DOCE Admin Aides,BAA inconsistent – send back tickets for taking out a care/of line or making it a second line or saying Image Mate has 2 people listed but  – but only cited one person,BAA inconsistent – send back tickets for taking out a care/of line or making it a second line or saying Image Mate has 2 people listed but – but only cited one person
DOCE Admin Aides,"Address for owner legit address – deed search and on Image Mate, who we sent violation notice to","Address for owner legit address – deed search and on Image Mate, who we sent violation notice to"
DOCE Admin Aides,"BAA tried to send to PO Box – didn't go through – couldn't serve it twice, denied ticket and sent it back","BAA tried to send to PO Box – didn't go through – couldn't serve it twice, denied ticket and sent it back"
DOCE Admin Aides,His work around – said Law verify address,His work around – said Law verify address
DOCE Admin Aides,"S: Limit on tabs IPS can handle- multi-task – may have 7 tabs open, upload documents, tabs open – when that error comes up – is there a limit to tabs before crashes? On average ~10 complaint cases open","S: Limit on tabs IPS can handle- multi-task – may have 7 tabs open, upload documents, tabs open – when that error comes up – is there a limit to tabs before crashes? On average ~10 complaint cases open"
DOCE Admin Aides,Managing multiple tools – is that frustrating? Could be a more efficient way to have all the things they use. Shawn: very analog so doesn’t know what that would look like GIS map,Managing multiple tools – is that frustrating? Could be a more efficient way to have all the things they use. Shawn: very analog so doesn’t know what that would look like GIS map
DOCE Admin Aides,Deed search – if inspectors listed with parcel info,Deed search – if inspectors listed with parcel info
DOCE Admin Aides,Would save time if all info on catchment map were in IPS on the parcel – but still wouldn’t have geographic context,Would save time if all info on catchment map were in IPS on the parcel – but still wouldn’t have geographic context
DOCE Admin Aides,"M: Pixel perfect when searching by address in AS400 – very difficult, functionality atrocious, like the aesthetic","M: Pixel perfect when searching by address in AS400 – very difficult, functionality atrocious, like the aesthetic"
DOCE Admin Aides,"J: AS400 – uses it for water billing, goes to view wtr history and won’t go anywhere – will go ‘long way’ - additional 3 steps – even then sometimes it’s not there","J: AS400 – uses it for water billing, goes to view wtr history and won’t go anywhere – will go ‘long way’ - additional 3 steps – even then sometimes it’s not there"
DOCE Admin Aides,Only more annoying because,Only more annoying because
DOCE Admin Aides,Kevin gave long list of address changes – updating owner addresses in AS400 and in IPS,Kevin gave long list of address changes – updating owner addresses in AS400 and in IPS
DOCE Admin Aides,Updating address only annoying,Updating address only annoying
DOCE Admin Aides,Death certificate 2003 of someone trying to serve,Death certificate 2003 of someone trying to serve
DOCE Admin Aides,Can they have assessment update the address?,Can they have assessment update the address?
DOCE Admin Aides,IPS doesn’t allow saving owner addresses sometimes – or permission based? Tim could do it,IPS doesn’t allow saving owner addresses sometimes – or permission based? Tim could do it
DOCE Admin Aides,Sheer amount of duplicates in address book in IPS and AS400 – some of that is the owner addresses themselves,Sheer amount of duplicates in address book in IPS and AS400 – some of that is the owner addresses themselves
DOCE Admin Aides,With LLCs do have to keep it distinct if multiple LLCs so not all within our control,With LLCs do have to keep it distinct if multiple LLCs so not all within our control
DOCE Admin Aides,"Put in contact information – enter someone with same name, address book won’t let you enter it if it’s similar – e.g. enter same name but different address","Put in contact information – enter someone with same name, address book won’t let you enter it if it’s similar – e.g. enter same name but different address"
DOCE Admin Aides,Assessment change of address form – share,Assessment change of address form – share
DOCE Admin Aides,Anything you like about IPS,Anything you like about IPS
DOCE Admin Aides,Automatically adds hypens with phone number,Automatically adds hypens with phone number
DOCE Admin Aides,"Appreciates that within parcel, can click on button that brings directly to Image Mate with the owner address","Appreciates that within parcel, can click on button that brings directly to Image Mate with the owner address"
DOCE Admin Aides,Dark mode for IPS?  +2 Incredibly bright,Dark mode for IPS? +2 Incredibly bright
DOCE Admin Aides,Other information you wish were available or features/capabailities?,Other information you wish were available or features/capabailities?
DOCE Admin Aides,Spell check or grammar check,Spell check or grammar check
DOCE Admin Aides,Not consistent – some parts have features and others don’t,Not consistent – some parts have features and others don’t
DOCE Admin Aides,"If everything could be more easily identifiable on the thumbnails – when you pull ip the Parcel History, not easy to tell e..g large complexes like Nob Hill, has to open each individually to find apartment – make it more identifiable e.g. apartment, unit – only has status, open date","If everything could be more easily identifiable on the thumbnails – when you pull ip the Parcel History, not easy to tell e..g large complexes like Nob Hill, has to open each individually to find apartment – make it more identifiable e.g. apartment, unit – only has status, open date"
DOCE Admin Aides,Finding/opening specific cases difficult,Finding/opening specific cases difficult
DOCE Admin Aides,Computer is slow – takes 45 sec to open complaint case,Computer is slow – takes 45 sec to open complaint case
DOCE Admin Aides,When you open a case note on an already open case – sometimes your name isn’t there – blank space – sometimes only inspectors are there,When you open a case note on an already open case – sometimes your name isn’t there – blank space – sometimes only inspectors are there
DOCE Admin Aides,Some things you need to hit Save and other time you don’t need to,Some things you need to hit Save and other time you don’t need to
DOCE Admin Aides,Save button never in the same place or,Save button never in the same place or
DOCE Admin Aides,New next to Save and look the same,New next to Save and look the same
DOCE Admin Aides,"Notepads, a lot of Excel documents","Notepads, a lot of Excel documents"
DOCE Admin Aides,S: Doesn’t use Excel on day to day,S: Doesn’t use Excel on day to day
DOCE Admin Aides,Made cheat sheets and phone lists of commonly ysed things – reference docs,Made cheat sheets and phone lists of commonly ysed things – reference docs
DOCE Admin Aides,"Deed search, GIS,","Deed search, GIS,"
DOCE Admin Aides,MS Teams: will contact cityline Christine Norween,MS Teams: will contact cityline Christine Norween
DOCE Admin Aides,Inspectors update SeeClick Fix – not admin aides,Inspectors update SeeClick Fix – not admin aides
DOCE Admin Aides,Mondays are the busiest – 9 or 3pm,Mondays are the busiest – 9 or 3pm
DOCE Admin Aides,Closing/Next Steps | 5min | Rose,Closing/Next Steps | 5min | Rose
DOCE Admin Aides,Would be nice for a section specifically for Law/legal,Would be nice for a section specifically for Law/legal
DOCE Admin Aides,"7D court filings – don't have a dedicated place for this – would be nice if legal had their own section for it. If no case, adding to other general attachments – a lot in there – their own designated space for it to be uploaded","7D court filings – don't have a dedicated place for this – would be nice if legal had their own section for it. If no case, adding to other general attachments – a lot in there – their own designated space for it to be uploaded"
DOCE Admin Aides,"IPS: when trying to save anything – brink of crashing – slows down – loading window – if crashes, will say out of memory","IPS: when trying to save anything – brink of crashing – slows down – loading window – if crashes, will say out of memory"
DOCE Admin Aides,Periodic inspections module: Issue with inspector names not sorting alphabetize,Periodic inspections module: Issue with inspector names not sorting alphabetize
DOCE Admin Aides,Everything else runs pretty smoothly – mainly processing speed,Everything else runs pretty smoothly – mainly processing speed
DOCE Admin Aides,If updating nail and mails – sometimes you can’t upload the document,If updating nail and mails – sometimes you can’t upload the document
DOCE Admin Aides,Issue with feature – put in a complaint under building without a permit – when it times to send out letter *follow up with Tim for details,Issue with feature – put in a complaint under building without a permit – when it times to send out letter *follow up with Tim for details
DOCE Admin Aides,Mainly put under Prop Maint Int/Ext - would be more recognizable as Bldg w/o a Permit,Mainly put under Prop Maint Int/Ext - would be more recognizable as Bldg w/o a Permit
DOCE Admin Aides,Katelyn creates tickets,Katelyn creates tickets
DOCE Admin Aides,Re: mailing a letter out - Sometimes can’t find the new owner in the system – go into county clerk’s deeds and mortgages,Re: mailing a letter out - Sometimes can’t find the new owner in the system – go into county clerk’s deeds and mortgages
DOCE Admin Aides,"Can’t find new owners – creates an issue because old owners calls us, become aggravated/agitated because they sold it","Can’t find new owners – creates an issue because old owners calls us, become aggravated/agitated because they sold it"
DOCE Admin Aides,Collaboration with other departments?,Collaboration with other departments?
DOCE Admin Aides,When waiting on approval for something – if they can’t get ahold of Permits office,When waiting on approval for something – if they can’t get ahold of Permits office
DOCE Admin Aides,Eric: Likes that everything is in Camino – database for that,Eric: Likes that everything is in Camino – database for that
DOCE Admin Aides,Multiple tools they have to handle – would be nice if something that collected those data and inputted in both systems,Multiple tools they have to handle – would be nice if something that collected those data and inputted in both systems
DOCE Admin Aides,"AS400: Do use it often, very outdated","AS400: Do use it often, very outdated"
DOCE Admin Aides,Lillian not really trained on AS400,Lillian not really trained on AS400
DOCE Admin Aides,Technology Features you like/that work well,Technology Features you like/that work well
DOCE Admin Aides,Likes periodics window for Rental Registry,Likes periodics window for Rental Registry
DOCE Admin Aides,"Documents on one side, inspection on the other side, add notes to it specifically","Documents on one side, inspection on the other side, add notes to it specifically"
DOCE Admin Aides,"PI module layout – likes it better than the complaint module – designed well – when you click on date, doesn’t calendar – very useful","PI module layout – likes it better than the complaint module – designed well – when you click on date, doesn’t calendar – very useful"
DOCE Admin Aides,Likes the layout,Likes the layout
DOCE Admin Aides,Only complaint is the list alphabetize,Only complaint is the list alphabetize
DOCE Admin Aides,Can see contact phone numbers,Can see contact phone numbers
DOCE Admin Aides,That needs to be updated,That needs to be updated
DOCE Admin Aides,Owner/contact information – needs to be connected – updated individually in RR module vs complaint module,Owner/contact information – needs to be connected – updated individually in RR module vs complaint module
DOCE Admin Aides,Attachment for CofUs – don't see it in the attachments,Attachment for CofUs – don't see it in the attachments
DOCE Admin Aides,Mention to Tom?,Mention to Tom?
DOCE Admin Aides,Anything you wish IPS had?,Anything you wish IPS had?
DOCE Admin Aides,Would it be possible for them to add licenses? Tab for that,Would it be possible for them to add licenses? Tab for that
DOCE Admin Aides,Make it easier to find,Make it easier to find
DOCE Admin Aides,Main place where parcel is,Main place where parcel is
DOCE Admin Aides,Camino – changed something they didn’t like – if they pick AM/PM - doesn’t list time in – doesn't allow for time? Lillian adds a note *flag for Camino team – could impact inspectors too,Camino – changed something they didn’t like – if they pick AM/PM - doesn’t list time in – doesn't allow for time? Lillian adds a note *flag for Camino team – could impact inspectors too
DOCE Admin Aides,Adds in complaint module,Adds in complaint module
DOCE Building Inspectors,Rob: Zoning approval – Zone checks take forever – he knows they’re very busy,Rob: Zoning approval – Zone checks take forever – he knows they’re very busy
DOCE Building Inspectors,"Can’t issue without zone check, they don’t update IPS case","Can’t issue without zone check, they don’t update IPS case"
DOCE Building Inspectors,"Other depts that get involved – don't update IPS with notes, can be an issue","Other depts that get involved – don't update IPS with notes, can be an issue"
DOCE Building Inspectors,"Inspectors are point of contact – get people calling – waiting for BAA, Law or Zoning","Inspectors are point of contact – get people calling – waiting for BAA, Law or Zoning"
DOCE Building Inspectors,Nob Hill – cited over 2 years ago for elevators – due in 2019,Nob Hill – cited over 2 years ago for elevators – due in 2019
DOCE Building Inspectors,Ashlie - she didn’t know they were – can't cite if don’t know it’s expired,Ashlie - she didn’t know they were – can't cite if don’t know it’s expired
DOCE Building Inspectors,Referred to Law in May 2024,Referred to Law in May 2024
DOCE Building Inspectors,DOCE get blamed a lot,DOCE get blamed a lot
DOCE Building Inspectors,2 years since it’s been referred to Law and no note from Law,2 years since it’s been referred to Law and no note from Law
DOCE Building Inspectors,Inspectors aren’t updated with info when cases are in court even some times – gets info from syracuse.com,Inspectors aren’t updated with info when cases are in court even some times – gets info from syracuse.com
DOCE Building Inspectors,"Third-party inspectors: Sprinklers, fire alarm, smoke certs if hardwired, boilers/furnace, HVAC, elevators","Third-party inspectors: Sprinklers, fire alarm, smoke certs if hardwired, boilers/furnace, HVAC, elevators"
DOCE Building Inspectors,Will put reports to fire marshal and they will review and approve,Will put reports to fire marshal and they will review and approve
DOCE Building Inspectors,Only a few have access to Compliance Engine to look it up,Only a few have access to Compliance Engine to look it up
DOCE Building Inspectors,Water check – gets another inspector to look up the water movement,Water check – gets another inspector to look up the water movement
DOCE Building Inspectors,Difficult for AS400 to use,Difficult for AS400 to use
DOCE Building Inspectors,Technology See the water and elevator certs – have to ask Sonya – no note if it’s passed or paid,Technology See the water and elevator certs – have to ask Sonya – no note if it’s passed or paid
DOCE Building Inspectors,i.e. Can’t finish the CofC application until that’s in,i.e. Can’t finish the CofC application until that’s in
DOCE Building Inspectors,Tools – Camino for permits,Tools – Camino for permits
DOCE Building Inspectors,Can read notes from owners,Can read notes from owners
DOCE Building Inspectors,Mainly checking if doing work without a permit,Mainly checking if doing work without a permit
DOCE Building Inspectors,Also where applications come in for CofCs,Also where applications come in for CofCs
DOCE Building Inspectors,"May check on whether they’re pulling permits, whether its passed","May check on whether they’re pulling permits, whether its passed"
DOCE Building Inspectors,Wait on zoning again,Wait on zoning again
DOCE Building Inspectors,"Approvals for CofUs – redtape owners need to go through – slows down the process – DPW, zoning, Law, police","Approvals for CofUs – redtape owners need to go through – slows down the process – DPW, zoning, Law, police"
DOCE Building Inspectors,IPS – likes,IPS – likes
DOCE Building Inspectors,Tickle dates – reminder dates are helpful,Tickle dates – reminder dates are helpful
DOCE Building Inspectors,Too many cases that they manage,Too many cases that they manage
DOCE Building Inspectors,Ashlie – liked AS400 – had everything in there,Ashlie – liked AS400 – had everything in there
DOCE Building Inspectors,Now hopping back and forth,Now hopping back and forth
DOCE Building Inspectors,Likes that all documents and images are saved in there – even communication with owner,Likes that all documents and images are saved in there – even communication with owner
DOCE Building Inspectors,"With BAA, have to provide pictures","With BAA, have to provide pictures"
DOCE Building Inspectors,Photos also helpful for inspectors – compare/contrast,Photos also helpful for inspectors – compare/contrast
DOCE Building Inspectors,Options for actions in IPS – everything all in there,Options for actions in IPS – everything all in there
DOCE Building Inspectors,If you’re interrupted,If you’re interrupted
DOCE Building Inspectors,AS400 you can look up missed assignments,AS400 you can look up missed assignments
DOCE Building Inspectors,Couldn’t save documents in there – had to go into Onbase,Couldn’t save documents in there – had to go into Onbase
DOCE Building Inspectors,"Likes it for certain things, doesn’t like it for others","Likes it for certain things, doesn’t like it for others"
DOCE Building Inspectors,"Ashlie started as paralegal – between Codes and Law – also a clerk – started with RR program – easier for her, can look anything up","Ashlie started as paralegal – between Codes and Law – also a clerk – started with RR program – easier for her, can look anything up"
DOCE Building Inspectors,IPS – can search for anything,IPS – can search for anything
DOCE Building Inspectors,Issue for clerks as well – Nob Hill eg. Huge list of cases – issue with searching – sift through all of those cases,Issue for clerks as well – Nob Hill eg. Huge list of cases – issue with searching – sift through all of those cases
DOCE Building Inspectors,"Anthony – add CofC case apps, gets added to older cases","Anthony – add CofC case apps, gets added to older cases"
DOCE Building Inspectors,DPW had their own cases in IPS when they first started – older cases,DPW had their own cases in IPS when they first started – older cases
DOCE Building Inspectors,Fire will also start their own cases in IPS – they don’t follow up on it – now inspectors do it for them,Fire will also start their own cases in IPS – they don’t follow up on it – now inspectors do it for them
DOCE Building Inspectors,County lead in there too – can see it – but makes more cases,County lead in there too – can see it – but makes more cases
DOCE Building Inspectors,IPS – ownership issues,IPS – ownership issues
DOCE Building Inspectors,IPS updates itself,IPS updates itself
DOCE Building Inspectors,Multiple owners in Address Book – has to go in as multiple entries even if the same individual,Multiple owners in Address Book – has to go in as multiple entries even if the same individual
DOCE Building Inspectors,"Reggie’s case changed – he tries to change the older – causes confusion, multiple listed","Reggie’s case changed – he tries to change the older – causes confusion, multiple listed"
DOCE Building Inspectors,If you try to delete causes issues,If you try to delete causes issues
DOCE Building Inspectors,BAS said nothing they can do about it,BAS said nothing they can do about it
DOCE Building Inspectors,"So many places something can be put in – which ones is the correct updated ownership, phone numbers, etc. - and which was last put in is not indicated","So many places something can be put in – which ones is the correct updated ownership, phone numbers, etc. - and which was last put in is not indicated"
DOCE Building Inspectors,"Multiple ways to update in system – if not updated in certain way, doesn’t get","Multiple ways to update in system – if not updated in certain way, doesn’t get"
DOCE Building Inspectors,"AS400 checks 4 way – Ashlie uses constantly, Rob not familiar with it","AS400 checks 4 way – Ashlie uses constantly, Rob not familiar with it"
DOCE Building Inspectors,Used to be trained on it day one,Used to be trained on it day one
DOCE Building Inspectors,Don’t use spreadsheets – but supervisors do,Don’t use spreadsheets – but supervisors do
DOCE Building Inspectors,Tracking Features or capabilities you wish IPS had,Tracking Features or capabilities you wish IPS had
DOCE Building Inspectors,When it crashes – if it could refresh with where you are,When it crashes – if it could refresh with where you are
DOCE Building Inspectors,Happens often – too many windows open,Happens often – too many windows open
DOCE Building Inspectors,Letters admin aides think it’s an issue– if doing same thing at the same time,Letters admin aides think it’s an issue– if doing same thing at the same time
DOCE Building Inspectors,Same property – multiple cases,Same property – multiple cases
DOCE Building Inspectors,See high-risk area from IPS parcel area,See high-risk area from IPS parcel area
DOCE Building Inspectors,Catchment map,Catchment map
DOCE Building Inspectors,Be nice if IPS had everything they needed – now we have so many apps,Be nice if IPS had everything they needed – now we have so many apps
DOCE Building Inspectors,"Sonya elevators, catchment map, Camino, Compliance Engine","Sonya elevators, catchment map, Camino, Compliance Engine"
DOCE Building Inspectors,Tablet that connects – idea is great,Tablet that connects – idea is great
DOCE Building Inspectors,Ashlie had skyline at the time – 45 minutes to pull up cases,Ashlie had skyline at the time – 45 minutes to pull up cases
DOCE Building Inspectors,More info cases in IPS harder it would be to,More info cases in IPS harder it would be to
DOCE Building Inspectors,"Offline capability – if they go into a basement to look at boiler, service drops/tablet wouldn’t work","Offline capability – if they go into a basement to look at boiler, service drops/tablet wouldn’t work"
DOCE Building Inspectors,Would be interesting to see what other municipalities use for software – in NYS same codes,Would be interesting to see what other municipalities use for software – in NYS same codes
DOCE Building Inspectors,Ashlie has high hopes – this meeting longer already than the one they held when picking IPS (Gretchen in Law? At the time),Ashlie has high hopes – this meeting longer already than the one they held when picking IPS (Gretchen in Law? At the time)
DOCE Building Inspectors,Luke: Codes wasn’t consulted,Luke: Codes wasn’t consulted
DOCE Building Inspectors,Items Dan M. followed up with via email 2026-05-26:,Items Dan M. followed up with via email 2026-05-26:
DOCE Building Inspectors,Some of the inspectors do not have the ability to delete actions or photos in IPS if they are added by mistake. A lot of them come to me to do that for them.,Some of the inspectors do not have the ability to delete actions or photos in IPS if they are added by mistake. A lot of them come to me to do that for them.
DOCE Building Inspectors,Several inspectors do not have access to AS400. We do need this to check for proper ownership as well as water usage to determine vacancy.,Several inspectors do not have access to AS400. We do need this to check for proper ownership as well as water usage to determine vacancy.
DOCE CPO Coordinators,Can we make exceptions for digital applications? Give out paper paper applications? Creates more work for staff,Can we make exceptions for digital applications? Give out paper paper applications? Creates more work for staff
DOCE CPO Coordinators,Point is to serve the public – making their life a living hell – people don’t come back to apply and don’t get permits because too difficult – totally missing the point of the point of this office,Point is to serve the public – making their life a living hell – people don’t come back to apply and don’t get permits because too difficult – totally missing the point of the point of this office
DOCE CPO Coordinators,Constituents walk out because they’re frustrated – feels they’re not serving them. Have constituents without an email address.,Constituents walk out because they’re frustrated – feels they’re not serving them. Have constituents without an email address.
DOCE CPO Coordinators,IPS: Addresses that have hypens – can't search by second number,IPS: Addresses that have hypens – can't search by second number
DOCE CPO Coordinators,Parcel search can be tricky,Parcel search can be tricky
DOCE CPO Coordinators,Special names like MLK spelled incorrectly,Special names like MLK spelled incorrectly
DOCE CPO Coordinators,Saves incorrect search terms like an address search – defaults to caps lock e.g.,Saves incorrect search terms like an address search – defaults to caps lock e.g.
DOCE CPO Coordinators,"Corinne: having to duplicate things from Camino to IPS, or trying to get other departments to do that","Corinne: having to duplicate things from Camino to IPS, or trying to get other departments to do that"
DOCE CPO Coordinators,Inspections are in Camino,Inspections are in Camino
DOCE CPO Coordinators,Scheduling is easy in IPS,Scheduling is easy in IPS
DOCE CPO Coordinators,Printing out 60-day renewal notices – doesn't work well when many applications coming due,Printing out 60-day renewal notices – doesn't work well when many applications coming due
DOCE CPO Coordinators,IPS doesn’t tell you when things expire unless you run it report,IPS doesn’t tell you when things expire unless you run it report
DOCE CPO Coordinators,"Doesn’t feel a system notification is the most efficient way to know when to do something with - gets lost, get a ton of email notifications","Doesn’t feel a system notification is the most efficient way to know when to do something with - gets lost, get a ton of email notifications"
DOCE CPO Coordinators,Ideally could all be within the system,Ideally could all be within the system
DOCE CPO Coordinators,Camino emails are the same for every change – all emails look the same,Camino emails are the same for every change – all emails look the same
DOCE CPO Coordinators,Can’t do multiple things in Camino at the same time – have to open a ton of tabs,Can’t do multiple things in Camino at the same time – have to open a ton of tabs
DOCE CPO Coordinators,CE not doing well with using 2 systems – needs to be simplified,CE not doing well with using 2 systems – needs to be simplified
DOCE CPO Coordinators,Creates more work for Corinne – has to duplicate things that they’re doing,Creates more work for Corinne – has to duplicate things that they’re doing
DOCE CPO Coordinators,Technology Likes: Ownership tabs in IPS – sometimes when updating owner – sometimes 10 different,Technology Likes: Ownership tabs in IPS – sometimes when updating owner – sometimes 10 different
DOCE CPO Coordinators,10 different accounts under same owners -,10 different accounts under same owners -
DOCE CPO Coordinators,Is there a way to consolidate?,Is there a way to consolidate?
DOCE CPO Coordinators,Adding new address will be told that contact already exists,Adding new address will be told that contact already exists
DOCE CPO Coordinators,"Dislikes: Used to be able to refund in Camino, now have to go through Invoice Cloud","Dislikes: Used to be able to refund in Camino, now have to go through Invoice Cloud"
DOCE CPO Coordinators,Camino doesn’t have an ability print all review comments,Camino doesn’t have an ability print all review comments
DOCE CPO Coordinators,Can’t print generate documents in Camino,Can’t print generate documents in Camino
DOCE CPO Coordinators,IPS auto-fills contact information on forms,IPS auto-fills contact information on forms
DOCE CPO Coordinators,Does like document generation in IPS – certs look elementary coming out of Camino,Does like document generation in IPS – certs look elementary coming out of Camino
DOCE CPO Coordinators,Camino – can't adjust font or font size,Camino – can't adjust font or font size
DOCE CPO Coordinators,Corinne still issuing certs out of IPS,Corinne still issuing certs out of IPS
DOCE CPO Coordinators,So many systems to check just before creating a case in IPS -,So many systems to check just before creating a case in IPS -
DOCE Central Permit Office,Issues/Frustrations In IPS,Issues/Frustrations In IPS
DOCE Central Permit Office,Document uploaded,Document uploaded
DOCE Central Permit Office,If document uploaded,If document uploaded
DOCE Central Permit Office,Codes and Permits segmented in IPS – was challenging – Permits wouldn’t see the photo from the Codes,Codes and Permits segmented in IPS – was challenging – Permits wouldn’t see the photo from the Codes
DOCE Central Permit Office,Two versions of the same case,Two versions of the same case
DOCE Central Permit Office,Permit details don’t pull violations – had to go to main search,Permit details don’t pull violations – had to go to main search
DOCE Central Permit Office,Camino reads more like a report,Camino reads more like a report
DOCE Central Permit Office,Properties with multiple units and multiple buildings,Properties with multiple units and multiple buildings
DOCE Central Permit Office,Lack of search capabilities in IPS – can't search on keyword searches e.g. Chimes building – difficult when many things on a parcel – easier to search in Camino,Lack of search capabilities in IPS – can't search on keyword searches e.g. Chimes building – difficult when many things on a parcel – easier to search in Camino
DOCE Central Permit Office,ROW – doesn't move onto an address,ROW – doesn't move onto an address
DOCE Central Permit Office,IPS worked better for ROW address management,IPS worked better for ROW address management
DOCE Central Permit Office,Future system to retain – hard to search when not an actual parcel,Future system to retain – hard to search when not an actual parcel
DOCE Central Permit Office,Destiny mall – IPS and Camino don’t handle well,Destiny mall – IPS and Camino don’t handle well
DOCE Central Permit Office,IPS – would be nice to be notified of approvals completed,IPS – would be nice to be notified of approvals completed
DOCE Central Permit Office,Internal disconnect of notifications,Internal disconnect of notifications
DOCE Central Permit Office,Bob noted that he got notified when reviewer signed off on something– maybe a settings thing (not the same for building review for Teri),Bob noted that he got notified when reviewer signed off on something– maybe a settings thing (not the same for building review for Teri)
DOCE Central Permit Office,Parcel information – on commercial standpoint – buildings with multiple tenants – don't have a proper way to track it e.g. Chimes – doing major renovation – many tenants in that space,Parcel information – on commercial standpoint – buildings with multiple tenants – don't have a proper way to track it e.g. Chimes – doing major renovation – many tenants in that space
DOCE Central Permit Office,Want historical information – hard to track and compile,Want historical information – hard to track and compile
DOCE Central Permit Office,IPS: No unit in IPS,IPS: No unit in IPS
