department,focus_group,expectations,source,processed_text
BAA,BAA Supervisors,[PERSON] Ability to link cases. Simple things like UI – if BAA inspections were a different color than Codes,meeting_notes,[PERSON] Ability to link cases. Simple things like UI – if BAA inspections were a different color than Codes
BAA,BAA Supervisors,Communication? Teams invite Codes engagement in the hearing has changed – up to [PERSON],meeting_notes,Communication? Teams invite Codes engagement in the hearing has changed – up to [PERSON]
BAA,BAA Supervisors,He started requiring inspectors to come to hearings more recently,meeting_notes,He started requiring inspectors to come to hearings more recently
BAA,BAA Supervisors,If mechanism where Codes inspector would be required to do something within the software maybe they wouldn't need to come every time,meeting_notes,If mechanism where Codes inspector would be required to do something within the software maybe they wouldn't need to come every time
BAA,BAA Supervisors,"Either missing, or not providing a hearing appropriate update – maybe doesn't include details of the PO communication or outstanding issue",meeting_notes,"Either missing, or not providing a hearing appropriate update – maybe doesn't include details of the PO communication or outstanding issue"
BAA,BAA Supervisors,"So many cases are getting dismissed – so [PERSON] deciding they are going to go the hearing (can be challenging, may interfere with their field work)",meeting_notes,"So many cases are getting dismissed – so [PERSON] deciding they are going to go the hearing (can be challenging, may interfere with their field work)"
BAA,BAA Supervisors,Codes has started emailing [PERSON] if there's a case they want – deny the referral – if there was something in system so Codes can remove the referral that would be ideal,meeting_notes,Codes has started emailing [PERSON] if there's a case they want – deny the referral – if there was something in system so Codes can remove the referral that would be ideal
BAA,BAA Supervisors,May be quicker if tickets weren't emailed,meeting_notes,May be quicker if tickets weren't emailed
BAA,BAA Supervisors,Could submit request to dismiss/void - BAA doesn't care as long,meeting_notes,Could submit request to dismiss/void - BAA doesn't care as long
BAA,BAA Supervisors,[PERSON] schedule meeting for BAA actions*,meeting_notes,[PERSON] schedule meeting for BAA actions*
BAA,BAA Supervisors,Would like to be able to add certain actions:,meeting_notes,Would like to be able to add certain actions:
BAA,BAA Supervisors,Request for More Information Received,meeting_notes,Request for More Information Received
BAA,BAA Supervisors,Request for More Information Sent,meeting_notes,Request for More Information Sent
BAA,BAA Supervisors,Outstanding balance would be nice to be able to see at the top/property summary – filtering abilities,meeting_notes,Outstanding balance would be nice to be able to see at the top/property summary – filtering abilities
BAA,BAA Supervisors,There are multiple rounds – fees are difficult to interpret,meeting_notes,There are multiple rounds – fees are difficult to interpret
BAA,BAA Supervisors,Don't sort by round,meeting_notes,Don't sort by round
BAA,BAA Supervisors,If multiple rounds and still unpaid would be easier they were grouped,meeting_notes,If multiple rounds and still unpaid would be easier they were grouped
BAA,BAA Supervisors,Uses different platforms for addressing,meeting_notes,Uses different platforms for addressing
BAA,BAA Supervisors,Water billing address or DOS NYS filing address,meeting_notes,Water billing address or DOS NYS filing address
BAA,BAA Supervisors,Beacon Image Mate – shows when property sold,meeting_notes,Beacon Image Mate – shows when property sold
BAA,BAA Supervisors,Sometimes Codes address doesn't match what BAA has and it's a back and forth,meeting_notes,Sometimes Codes address doesn't match what BAA has and it's a back and forth
CPC,CPC,Looking up of outstanding violations – if you have an account for a property – outstanding balance of every violation at the property level – make it obvious what is outstanding and help reduce,meeting_notes,Looking up of outstanding violations – if you have an account for a property – outstanding balance of every violation at the property level – make it obvious what is outstanding and help reduce
CPC,CPC,Would mean they don't have to look up each individual cases,meeting_notes,Would mean they don't have to look up each individual cases
CPC,CPC,IPS system – in AIMS – property owner has outstanding balance – can look under license plate – can see 10 ticket and total balance of each ticket (at a glance over view + ability to print account summary for property – which would list each individual ticket with the corresponding balance) – then click into each and see individual status of each ticket,meeting_notes,IPS system – in AIMS – property owner has outstanding balance – can look under license plate – can see 10 ticket and total balance of each ticket (at a glance over view + ability to print account summary for property – which would list each individual ticket with the corresponding balance) – then click into each and see individual status of each ticket
CPC,CPC,Ties into main account – what's missing here – an account overview,meeting_notes,Ties into main account – what's missing here – an account overview
CPC,CPC,Can also merge multiple license plates together – can merge contacts together,meeting_notes,Can also merge multiple license plates together – can merge contacts together
CPC,CPC,At-a-glance/account summary – would be nice to have a cover sheet (still ability to drill down),meeting_notes,At-a-glance/account summary – would be nice to have a cover sheet (still ability to drill down)
CPC,CPC,Fees outstanding- reliable number (total $$),meeting_notes,Fees outstanding- reliable number (total $$)
CPC,CPC,If current RR or CC – when are they due for renewal?,meeting_notes,If current RR or CC – when are they due for renewal?
CPC,CPC,Integrations? Viki: Thinks data imports can get confusing – prone to breaking,meeting_notes,Integrations? Viki: Thinks data imports can get confusing – prone to breaking
CPC,CPC,Prefers for look ups to happen in system of record for eTax – accurate in eTax,meeting_notes,Prefers for look ups to happen in system of record for eTax – accurate in eTax
CPC,CPC,One program that does everything – untenable,meeting_notes,One program that does everything – untenable
CPC,CPC,"Hub for all municipal violations would make sense – e.g. parking, ISOs – AIMS?",meeting_notes,"Hub for all municipal violations would make sense – e.g. parking, ISOs – AIMS?"
CPC,CPC,"Cut/cleans, board ups, demos – spreadsheets",meeting_notes,"Cut/cleans, board ups, demos – spreadsheets"
CPC,CPC,Daily listing for cut/cleans - invoice,meeting_notes,Daily listing for cut/cleans - invoice
CPC,CPC,If unpaid by Apr 1 – on taxes by May 20 (6 weeks to go through every spreadsheet),meeting_notes,If unpaid by Apr 1 – on taxes by May 20 (6 weeks to go through every spreadsheet)
CPC,CPC,BAA spreadsheet on outstanding fines – first year they've done it,meeting_notes,BAA spreadsheet on outstanding fines – first year they've done it
CPC,CPC,AIMS report for ISOs,meeting_notes,AIMS report for ISOs
CPC,CPC,Municipal sidewalks A lot of prep goes into doing tax bills,meeting_notes,Municipal sidewalks A lot of prep goes into doing tax bills
CPC,CPC,Add late charges to spreadsheet,meeting_notes,Add late charges to spreadsheet
CPC,CPC,"Codes used to do all billing for cut/cleans, demos",meeting_notes,"Codes used to do all billing for cut/cleans, demos"
CPC,CPC,Centralized – sent to Brad – sent to Viki,meeting_notes,Centralized – sent to Brad – sent to Viki
CPC,CPC,"Codes was using AS400 to keep all data – time consuming, duplication – worked with Mike and put together spreadsheet and that's what they used",meeting_notes,"Codes was using AS400 to keep all data – time consuming, duplication – worked with Mike and put together spreadsheet and that's what they used"
CPC,CPC,Future system – would be helpful to have invoice generation capability,meeting_notes,Future system – would be helpful to have invoice generation capability
CPC,CPC,Software – automatically add late fee to outstanding BAA ticket – instead of CPC trying to locate – don't always know BAA balance is correct,meeting_notes,Software – automatically add late fee to outstanding BAA ticket – instead of CPC trying to locate – don't always know BAA balance is correct
CPC,CPC,For tax search – 3-day deadline to get back to requestor – if BAA is out or unable to ask question,meeting_notes,For tax search – 3-day deadline to get back to requestor – if BAA is out or unable to ask question
CPC,CPC,Mayberry RFD -,meeting_notes,Mayberry RFD -
DOCE,CPO-Coordinators,Possible to add online scheduling for inspection – make date/times available of inspectors – would save so much work especially if integrating with Outlook,meeting_notes,Possible to add online scheduling for inspection – make date/times available of inspectors – would save so much work especially if integrating with Outlook
DOCE,CPO-Coordinators,Would also force owners to schedule and not say couldn't get in touch with CE (we email and call),meeting_notes,Would also force owners to schedule and not say couldn't get in touch with CE (we email and call)
DOCE,CPO-Coordinators,Automatic renewal letters/notices - add to print queue,meeting_notes,Automatic renewal letters/notices - add to print queue
DOCE,CPO-Coordinators,1000 businesses that need a CofU – manual process for one person takes a lot of time,meeting_notes,1000 businesses that need a CofU – manual process for one person takes a lot of time
DOCE,CPO-Coordinators,Camino applicants complain about the number of email notifications as well,meeting_notes,Camino applicants complain about the number of email notifications as well
DOCE,CPO-Coordinators,No place in Camino for managing “due/past due” items,meeting_notes,No place in Camino for managing “due/past due” items
DOCE,CPO-Coordinators,Not enough visual urgency in Camino – IPS better at that as long as tickle date set for yourself,meeting_notes,Not enough visual urgency in Camino – IPS better at that as long as tickle date set for yourself
DOCE,CPO-Coordinators,Anticipate that things are going to run out of space,meeting_notes,Anticipate that things are going to run out of space
DOCE,CPO-Coordinators,Think it's going to be an issue for ROW as far as applicants,meeting_notes,Think it's going to be an issue for ROW as far as applicants
DOCE,CPO-Coordinators,Every submission starts with an address,meeting_notes,Every submission starts with an address
DOCE,CPO-Coordinators,"If you're in city ROW, tie to house",meeting_notes,"If you're in city ROW, tie to house"
DOCE,CPO-Coordinators,For food vendors or peddler – don't know what address to put – not accurate to the address,meeting_notes,For food vendors or peddler – don't know what address to put – not accurate to the address
DOCE,CPO-Coordinators,Put something under specific event e.g. Christmas tree lighting – right now all under different addresses,meeting_notes,Put something under specific event e.g. Christmas tree lighting – right now all under different addresses
DOCE,CPO-Coordinators,"Or for businesses that tow within city but aren't located in city, can't use city address – can't move forward with application – doesn't work for a lot of the permits they do – can't do streets and sidewalks in only place he has record keeping (some level of that in IPS – didn't have to tie things to a parcel)",meeting_notes,"Or for businesses that tow within city but aren't located in city, can't use city address – can't move forward with application – doesn't work for a lot of the permits they do – can't do streets and sidewalks in only place he has record keeping (some level of that in IPS – didn't have to tie things to a parcel)"
DOCE,CPO-Coordinators,Camino running out of space – just had to up space,meeting_notes,Camino running out of space – just had to up space
DOCE,CPO-Coordinators,New weekly task for staff to clean out of 'unsubmitted' tasks,meeting_notes,New weekly task for staff to clean out of 'unsubmitted' tasks
DOCE,CPO-Coordinators,"Camino – applicants that pay and don't fill out the application or don't submit, or complete the full application but don't submit",meeting_notes,"Camino – applicants that pay and don't fill out the application or don't submit, or complete the full application but don't submit"
DOCE,CPO-Coordinators,"Camino breaks at least once a week – applicants can't submit anything – or can't see document upload, or things that used to be in system",meeting_notes,"Camino breaks at least once a week – applicants can't submit anything – or can't see document upload, or things that used to be in system"
DOCE,CPO-Coordinators,New cert just stopped working,meeting_notes,New cert just stopped working
DOCE,CPO-Coordinators,Things break and can't figure out what happened,meeting_notes,Things break and can't figure out what happened
DOCE,Housing Inspectors,Going out to house where dog issues or tenant or PO combative – county system would,meeting_notes,Going out to house where dog issues or tenant or PO combative – county system would
DOCE,Housing Inspectors,Info that would stick with the person,meeting_notes,Info that would stick with the person
DOCE,Housing Inspectors,Or rough consistently leaking – snapshot of what happens,meeting_notes,Or rough consistently leaking – snapshot of what happens
DOCE,Housing Inspectors,Notes on each individual case – get buried,meeting_notes,Notes on each individual case – get buried
DOCE,Housing Inspectors,Tag property owners and tenants separately – flag it if a tenant moves to another property or if PO has multiple BAA cases/never fixes anything,meeting_notes,Tag property owners and tenants separately – flag it if a tenant moves to another property or if PO has multiple BAA cases/never fixes anything
DOCE,Housing Inspectors,Issue with admin aides reading internal notes to PO,meeting_notes,Issue with admin aides reading internal notes to PO
DOCE,Housing Inspectors,"Would like to see more stats – cases without inspection dates, or cases set to Need Review",meeting_notes,"Would like to see more stats – cases without inspection dates, or cases set to Need Review"
DOCE,Housing Inspectors,X cases in BAA,meeting_notes,X cases in BAA
DOCE,Housing Inspectors,X amount of open cases,meeting_notes,X amount of open cases
DOCE,Housing Inspectors,Sometimes waiting Generally IPS pretty is good,meeting_notes,Sometimes waiting Generally IPS pretty is good
DOCE,Housing Inspectors,"Takes some time to get use to, but gets faster ~6months to a year to get used to",meeting_notes,"Takes some time to get use to, but gets faster ~6months to a year to get used to"
DOCE,Housing Inspectors,Some things should be auto-populated,meeting_notes,Some things should be auto-populated
DOCE,Housing Inspectors,Not any training materials,meeting_notes,Not any training materials
DOCE,Housing Inspectors,Did get some trainings when restarting VPR,meeting_notes,Did get some trainings when restarting VPR
DOCE,Housing Inspectors,Could do new complaint walk through for new guy,meeting_notes,Could do new complaint walk through for new guy
DOCE,Housing Inspectors,Did materials for Camino,meeting_notes,Did materials for Camino
DOCE,Housing Inspectors,Struggling with Camino,meeting_notes,Struggling with Camino
IT,IT,Auditing capabilities Public facing view/access Ability to directly schedule inspections,meeting_notes,Auditing capabilities Public facing view/access Ability to directly schedule inspections
IT,IT,Contest BAA tickets Report if trash already cleaned up,meeting_notes,Contest BAA tickets Report if trash already cleaned up
IT,IT,[PERSON] Single sign on – control access through your own identity system – most important from IT perspective,meeting_notes,[PERSON] Single sign on – control access through your own identity system – most important from IT perspective
IT,IT,Can whitelist IPs for tablets,meeting_notes,Can whitelist IPs for tablets
IT,IT,Vinny: GIS integrations Integration with CPC? CPC processing payments and updating fees for BAA tickets,meeting_notes,Vinny: GIS integrations Integration with CPC? CPC processing payments and updating fees for BAA tickets
IT,IT,Payments for RR/CC applications occur in Camino – would intake move to future CE platform?,meeting_notes,Payments for RR/CC applications occur in Camino – would intake move to future CE platform?
IT,IT,Stan: What's always come up related to that question is multiple entrypoints for payments – not ideal,meeting_notes,Stan: What's always come up related to that question is multiple entrypoints for payments – not ideal
IT,IT,BAA – court management system – how relevant is ticket round to codes? Very interconnected,meeting_notes,BAA – court management system – how relevant is ticket round to codes? Very interconnected
NBD,NBD Internal,[PERSON] Selecting from drop-down for referrals (referred from) - for referral types (which agency they came from) and making a required field – data validation,meeting_notes,[PERSON] Selecting from drop-down for referrals (referred from) - for referral types (which agency they came from) and making a required field – data validation
NBD,NBD Internal,System for DSS resettlement referrals – would be helpful to have documented which agency placed them within the system – would be great to be all in one place to track more regularly,meeting_notes,System for DSS resettlement referrals – would be helpful to have documented which agency placed them within the system – would be great to be all in one place to track more regularly
NBD,NBD Internal,Set up ambassador referrals externally – when DSS case is inputted,meeting_notes,Set up ambassador referrals externally – when DSS case is inputted
NBD,NBD Internal,"[PERSON] Loves IPS generally, only pain point is manual data entry (having to pay for bulk updates through vendor)",meeting_notes,"[PERSON] Loves IPS generally, only pain point is manual data entry (having to pay for bulk updates through vendor)"
NBD,NBD Internal,[PERSON] System that comes with video trainings. Sometimes we have interns to do data entry – lots of time to explain it,meeting_notes,[PERSON] System that comes with video trainings. Sometimes we have interns to do data entry – lots of time to explain it
NBD,NBD Internal,Viewing eTax amounts would be helpful – would need to be daily,meeting_notes,Viewing eTax amounts would be helpful – would need to be daily
NBD,NBD Internal,"Tax trust, county compromise agreements – legal stuff we have no insight into would be helpful to see",meeting_notes,"Tax trust, county compromise agreements – legal stuff we have no insight into would be helpful to see"
NBD,NBD Internal,Also at will of Law for them to enter in eTax in the first place – more of an FP process,meeting_notes,Also at will of Law for them to enter in eTax in the first place – more of an FP process
NBD,NBD Internal,Ideally a unified location for that,meeting_notes,Ideally a unified location for that
NBD,NBD Internal,Bankruptcy info is another one we don't have great visibility into – typically updated in eTax,meeting_notes,Bankruptcy info is another one we don't have great visibility into – typically updated in eTax
NBD,NBD Internal,[PERSON] View street/houses nearby,meeting_notes,[PERSON] View street/houses nearby
NBD,NBD Internal,"Ability see # of vacants, # tax delinquent properties in different quadrants - could be helpful planning tool",meeting_notes,"Ability see # of vacants, # tax delinquent properties in different quadrants - could be helpful planning tool"
NBD,NBD Internal,Expanding to include spatial element – move toward more of proactive model,meeting_notes,Expanding to include spatial element – move toward more of proactive model
NBD,NBD Internal,"Other tools: ArcGIS, Google Maps, eTax, County Clerk database, AS400, eTax, RStudio (report pulling, QPD production)",meeting_notes,"Other tools: ArcGIS, Google Maps, eTax, County Clerk database, AS400, eTax, RStudio (report pulling, QPD production)"
NBD,NBD Internal,Process mapping – could be helpful to bring this to NBD Quarterly,meeting_notes,Process mapping – could be helpful to bring this to NBD Quarterly
NBD,NBD Internal,[PERSON] will share ERP process map,meeting_notes,[PERSON] will share ERP process map
NBD,NBD Internal,Suinana – Cityline process mapping could be shared,meeting_notes,Suinana – Cityline process mapping could be shared
NBD,NBD Internal,Abitility of better address look up. eg. Don't have address then look up street then narrow down to the right property.,meeting_notes,Abitility of better address look up. eg. Don't have address then look up street then narrow down to the right property.
NBD,NBD Internal,We need to know ownership and ownership history.,meeting_notes,We need to know ownership and ownership history.
NBD,NBD Internal,"We should have full inventory of images of every property and do that as a census, it will be really valuable info. IPS would be good place to park that. City should have something like street image.",meeting_notes,"We should have full inventory of images of every property and do that as a census, it will be really valuable info. IPS would be good place to park that. City should have something like street image."
NBD,NBD Internal,Final Thoughts: Where does the historical records are store? Camino – if I open address can I see all these things that IPS used to handle.,meeting_notes,Final Thoughts: Where does the historical records are store? Camino – if I open address can I see all these things that IPS used to handle.
NBD,NBD Internal,"Repository of history of properties would be great data source, when did something happen, what happen could be told by the pictures.",meeting_notes,"Repository of history of properties would be great data source, when did something happen, what happen could be told by the pictures."
NBD,NBD Internal,Minimize windows – would be helpful.,meeting_notes,Minimize windows – would be helpful.
OCHD,OCHD,Ideally cloud based system with ability to host multiples users simultaneously,meeting_notes,Ideally cloud based system with ability to host multiples users simultaneously
OCHD,OCHD,"Ideally would be great if system listed commonly used reports with ability to put in parameters of query, prompt for 3-4 things. Dashboard would be helpful",meeting_notes,"Ideally would be great if system listed commonly used reports with ability to put in parameters of query, prompt for 3-4 things. Dashboard would be helpful"
OCHD,OCHD,Have record information and links to open complaints for that record,meeting_notes,Have record information and links to open complaints for that record
OCHD,OCHD,"Possible to build in links to other information about the property? Hyperlink to other parts of the record e.g. sometimes see property is in Land Bank phase; water billing info; or highlight that a PO has designated a family member as responsible; special characteristics of property e.g. historic property, or in a flood plain with ability to search by attributes as well as view those attributes on a property – use case example: if targeting grants on SHPO properties",meeting_notes,"Possible to build in links to other information about the property? Hyperlink to other parts of the record e.g. sometimes see property is in Land Bank phase; water billing info; or highlight that a PO has designated a family member as responsible; special characteristics of property e.g. historic property, or in a flood plain with ability to search by attributes as well as view those attributes on a property – use case example: if targeting grants on SHPO properties"
OCHD,OCHD,"GIS mapping? Deb: Mapping is tricky have to protect identity of people associated with property, violation mapping would be different story",meeting_notes,"GIS mapping? Deb: Mapping is tricky have to protect identity of people associated with property, violation mapping would be different story"
OCHD,OCHD,"Would be wonderful for county to be able to view AS400 water billing records, read-only",meeting_notes,"Would be wonderful for county to be able to view AS400 water billing records, read-only"
OCHD,OCHD,"Easier way to share documents and photos instead of cluttering email - right now, if remoted in, Deb has to access city One Drive, attach from there, don't bother with it most of the time because cumbersome/time consuming",meeting_notes,"Easier way to share documents and photos instead of cluttering email - right now, if remoted in, Deb has to access city One Drive, attach from there, don't bother with it most of the time because cumbersome/time consuming"
DOCE,Zoning,Post session discussion with [PERSON],meeting_notes,Post session discussion with [PERSON]
DOCE,Zoning,Not opposed to considering a system that involves Permits if that's what's needed,meeting_notes,Not opposed to considering a system that involves Permits if that's what's needed
DOCE,Zoning,Permit inspectors do make up a smaller portion of overall inspector staff,meeting_notes,Permit inspectors do make up a smaller portion of overall inspector staff
DOCE,Zoning,"Didn't come up, but also so much in CE related to tax status check, water billing, etc., other addresses",meeting_notes,"Didn't come up, but also so much in CE related to tax status check, water billing, etc., other addresses"
DOCE,Zoning,"Looking at/searching contractor information – Camino doesn't do well, IPS has some capabilities",meeting_notes,"Looking at/searching contractor information – Camino doesn't do well, IPS has some capabilities"
DOCE,Zoning,Kelsey was convinced CRM was the solution for CE,meeting_notes,Kelsey was convinced CRM was the solution for CE
DOCE,Zoning,People component is important for lead enforcement,meeting_notes,People component is important for lead enforcement
