Focus Group,Value Index,Content
DOCE Discovery Session | Supervisors Group,108,Can’t rely on software to – still need people to do their jobs
DOCE Discovery Session | Supervisors Group,109,With new systems – need new processes – may need to adapt
DOCE Discovery Session | Supervisors Group,110,Change will be hard for some people
DOCE Discovery Session | Supervisors Group,111,Bill: Let’s not add more software – don't
DOCE Discovery Session | Supervisors Group,112,Need more intertwined systems
DOCE Discovery Session | Supervisors Group,113,ETax
DOCE Discovery Session | Supervisors Group,114,Jake: Everytime we move onto a new system – don't have a good game plan for data migration – do nothing to old system – still have to access it
DOCE Discovery Session | Supervisors Group,115,Need some data consolidation and migration
DOCE Discovery Session | Supervisors Group,116,Right now – still need to go into AS400
DOCE Discovery Session | Supervisors Group,117,Add another system – more places for things
DOCE Discovery Session | Supervisors Group,118,"Consolidated all the old stuff somewhere + new system rather than every time we change, stacking another legacy system we never get rid of"
DOCE Discovery Session | Supervisors Group,119,Do we own the data?
DOCE Discovery Session | Supervisors Group,120,Onbase – scanned
DOCE Discovery Session | Supervisors Group,121,"Record management and retention and digitization – organization it takes a lot of time and money – we've never done it, so sits in original system"
DOCE Discovery Session | Supervisors Group,122,Post- session (Jake)
DOCE Discovery Session | Supervisors Group,123,"Will we be designing for Codes primarily or other departments to use? Codes will drive, but TBD for things like BAA and Law – ideally they would use same system for updates"
DOCE Discovery Session | Supervisors Group,124,Consideration for processing applications for things that are in Camino now like periodic applications and business licensing
DOCE Discovery Session | Supervisors Group,125,"Ability to pay BAA tickets directly, even if it links to invoice cloud"
DOCE Discovery Session | Housing Inspectors Group,0,Introductions
DOCE Discovery Session | Housing Inspectors Group,1,Matt Moran - June 5yrs
DOCE Discovery Session | Housing Inspectors Group,2,Dan - Mar 2022
DOCE Discovery Session | Housing Inspectors Group,3,Kevin - Feb 2025
DOCE Discovery Session | Housing Inspectors Group,4,Don - Feb 2025
DOCE Discovery Session | Housing Inspectors Group,5,Worksheet Share Out
DOCE Discovery Session | Housing Inspectors Group,6,Role
DOCE Discovery Session | Housing Inspectors Group,7,Process
DOCE Discovery Session | Housing Inspectors Group,8,Complaint inspections (tenant complaints)
DOCE Discovery Session | Housing Inspectors Group,9,Rental Registry
DOCE Discovery Session | Housing Inspectors Group,10,Daily re-inspections – most every day
DOCE Discovery Session | Housing Inspectors Group,11,Computer input and follow up
DOCE Discovery Session | Housing Inspectors Group,12,Input violations - IPS
DOCE Discovery Session | Housing Inspectors Group,13,Phone calls and emails
DOCE Discovery Session | Housing Inspectors Group,14,"PO, tenants, supervisors, coworkers"
DOCE Discovery Session | Housing Inspectors Group,15,Vacant property inspections
DOCE Discovery Session | Housing Inspectors Group,16,Scheduling – aides get the initial call
DOCE Discovery Session | Housing Inspectors Group,17,Inspectors may make changes after they
DOCE Discovery Session | Housing Inspectors Group,18,Open line of comms with aides
DOCE Discovery Session | Housing Inspectors Group,19,Other tools
DOCE Discovery Session | Housing Inspectors Group,20,M365
DOCE Discovery Session | Housing Inspectors Group,21,Camino – permit follow up
DOCE Discovery Session | Housing Inspectors Group,22,They don’t have access to AS400
DOCE Discovery Session | Housing Inspectors Group,23,Attend appointments
DOCE Discovery Session | Housing Inspectors Group,24,Ownership checks and updates
DOCE Discovery Session | Housing Inspectors Group,25,Address updates
DOCE Discovery Session | Housing Inspectors Group,26,Nail and mails/tickets
DOCE Discovery Session | Housing Inspectors Group,27,Contacting people
DOCE Discovery Session | Housing Inspectors Group,28,Collaboration
DOCE Discovery Session | Housing Inspectors Group,29,Zoning – violation related to that
DOCE Discovery Session | Housing Inspectors Group,30,"NBD – unfit, ERP"
DOCE Discovery Session | Housing Inspectors Group,31,"Primarily email, phone calls, or touching base in person"
DOCE Discovery Session | Housing Inspectors Group,32,BAA – will call or email directly
DOCE Discovery Session | Housing Inspectors Group,33,Some cases 2024 and no movement
DOCE Discovery Session | Housing Inspectors Group,34,Cases can go stale sitting in BAA process
DOCE Discovery Session | Housing Inspectors Group,35,Pain Points/Challenges
DOCE Discovery Session | Housing Inspectors Group,36,IPS slow or needs to be rebooted
DOCE Discovery Session | Housing Inspectors Group,37,"Dan used to work at the county – any case pulled up, would open information scroll of related info"
DOCE Discovery Session | Housing Inspectors Group,38,"Have to click into 5-6 different cases, which takes time"
DOCE Discovery Session | Housing Inspectors Group,39,County – name or address would pull up all info – current owner and tenant
DOCE Discovery Session | Housing Inspectors Group,40,Bad layout
DOCE Discovery Session | Housing Inspectors Group,41,Would be helpful if click on a case – would be helpful to bring up any open cases
DOCE Discovery Session | Housing Inspectors Group,42,Parkside – brings up many cases
DOCE Discovery Session | Housing Inspectors Group,43,Would be helpful in specific unit number
DOCE Discovery Session | Housing Inspectors Group,44,Lapses – happened more at old building
DOCE Discovery Session | Housing Inspectors Group,45,"Loading button – IPS spinning – automatically closes out, doesn’t always save"
DOCE Discovery Session | Housing Inspectors Group,46,Anywhere from 1-2 times a day to a few times a week
DOCE Discovery Session | Housing Inspectors Group,47,Entering violations – simultaneous entry – asks for violation number – 15 folks doing entry at the same time
DOCE Discovery Session | Housing Inspectors Group,48,Re-enter info when that happens
DOCE Discovery Session | Housing Inspectors Group,49,Doesn’t auto-populate their name in the case – when starting a new case
DOCE Discovery Session | Housing Inspectors Group,50,"Reduce the drop-down – too many actions, too many names"
DOCE Discovery Session | Housing Inspectors Group,51,Could be tailored to just housing inspections
DOCE Discovery Session | Housing Inspectors Group,52,Inspection results – real close in the drop-down menu – can accidentally select another result
DOCE Discovery Session | Housing Inspectors Group,53,Periodic inspection – inspector names not in alphabetical order
DOCE Discovery Session | Housing Inspectors Group,54,Exterior violations – trash or overgrowth – 10-20 tickets at a time
DOCE Discovery Session | Housing Inspectors Group,55,When select OG – entering same info for every case – would be helpful for violation info to populate – seems redudnant to do 20 times
DOCE Discovery Session | Housing Inspectors Group,56,Would be helpful to populate corrective action
DOCE Discovery Session | Housing Inspectors Group,57,That’s one where violation is always the same and corrective action
DOCE Discovery Session | Housing Inspectors Group,58,Lead map – when doing Rental Registries
DOCE Discovery Session | Housing Inspectors Group,59,If starting a RR case – somewhere in IPS that indicates high-risk zone – some that get missed or forgets
DOCE Discovery Session | Housing Inspectors Group,60,NRSA – alert for cases
DOCE Discovery Session | Housing Inspectors Group,61,Addresses not always updated in all the cases
DOCE Discovery Session | Housing Inspectors Group,62,"If address updated, have to individually update all 3 cases with that owner"
DOCE Discovery Session | Housing Inspectors Group,63,Global address book
DOCE Discovery Session | Housing Inspectors Group,64,Can cause a delay with BAA if address is not right
DOCE Discovery Session | Housing Inspectors Group,65,Email law for addressing verification
DOCE Discovery Session | Housing Inspectors Group,66,Then send to aide to put in AS400
DOCE Discovery Session | Housing Inspectors Group,67,Ownership changes – switched in some cases when that happens but not others – old owner getting notices
DOCE Discovery Session | Housing Inspectors Group,68,Universal update of information would be helpful
DOCE Discovery Session | Housing Inspectors Group,69,Way to organize cases on main IPS screen – they can add tickle date and write a note for next step – no way to access with clicking into the case
DOCE Discovery Session | Housing Inspectors Group,70,Would be helpful to categorize the follow up
DOCE Discovery Session | Housing Inspectors Group,71,Organizing those similar tasks – would be helpful to know I have 8 drive bys
DOCE Discovery Session | Housing Inspectors Group,72,60 cases some days
DOCE Discovery Session | Housing Inspectors Group,73,Don puts his cases into a spreadsheet to organize it
DOCE Discovery Session | Housing Inspectors Group,74,Others don’t typically use Excel independently
DOCE Discovery Session | Housing Inspectors Group,75,Other tools
DOCE Discovery Session | Housing Inspectors Group,76,Notepad for inspection notes – transfer later
DOCE Discovery Session | Housing Inspectors Group,77,Use GIS maps
DOCE Discovery Session | Housing Inspectors Group,78,Property lines and getting right address
DOCE Discovery Session | Housing Inspectors Group,79,Lead map is helpful
DOCE Discovery Session | Housing Inspectors Group,80,Look Before You Rent – don’t have access to IPS in the field – look up violations on the fly
DOCE Discovery Session | Housing Inspectors Group,81,Use lead map on phone in the field
DOCE Discovery Session | Housing Inspectors Group,82,Used IPS on tablet once when first started – confusing
DOCE Discovery Session | Housing Inspectors Group,83,Take a bunch of pictures – use work phone for that
DOCE Discovery Session | Housing Inspectors Group,84,IPS app was confusing – connection issues as well
DOCE Discovery Session | Housing Inspectors Group,85,Had laptop for awhile – very helpful – connection issues with that as well – difficulty logging in
DOCE Discovery Session | Housing Inspectors Group,86,Would save hours to be able to do it in the field
DOCE Discovery Session | Housing Inspectors Group,87,Technology
DOCE Discovery Session | Housing Inspectors Group,88,Likes/Dislikes
DOCE Discovery Session | Housing Inspectors Group,89,IPS – thinks it’s a good system and user friendly generally – freezing is an issue
DOCE Discovery Session | Housing Inspectors Group,90,Rental Registry PI module – would be helpful if streamlined and not two separate things
DOCE Discovery Session | Housing Inspectors Group,91,RR module - pass/fail
DOCE Discovery Session | Housing Inspectors Group,92,If there is a violation – enter into complaint module
DOCE Discovery Session | Housing Inspectors Group,93,Would be helpful to have it all in one
DOCE Discovery Session | Housing Inspectors Group,94,Dan will p
DOCE Discovery Session | Housing Inspectors Group,95,Anthony just checks for RR inspector case – Dan switches case to Anthony when complete and he finds
DOCE Discovery Session | Housing Inspectors Group,96,Future capabilities
DOCE Discovery Session | Housing Inspectors Group,97,Going out to house where dog issues or tenant or PO combative – county system would
DOCE Discovery Session | Housing Inspectors Group,98,Info that would stick with the person
DOCE Discovery Session | Housing Inspectors Group,99,Or rough consistently leaking – snapshot of what happens
DOCE Discovery Session | Housing Inspectors Group,100,Notes on each individual case – get buried
DOCE Discovery Session | Housing Inspectors Group,101,Tag property owners and tenants separately – flag it if a tenant moves to another property or if PO has multiple BAA cases/never fixes anything
DOCE Discovery Session | Housing Inspectors Group,102,Issue with admin aides reading internal notes to PO
DOCE Discovery Session | Housing Inspectors Group,103,"Would like to see more stats – cases without inspection dates, or cases set to Need Review"
DOCE Discovery Session | Housing Inspectors Group,104,X cases in BAA
DOCE Discovery Session | Housing Inspectors Group,105,X amount of open cases
DOCE Discovery Session | Housing Inspectors Group,106,Sometimes waiting
DOCE Discovery Session | Housing Inspectors Group,107,Generally IPS pretty is good
DOCE Discovery Session | Housing Inspectors Group,108,"Takes some time to get use to, but gets faster ~6months to a year to get used to"
DOCE Discovery Session | Housing Inspectors Group,109,Some things should be auto-populated
DOCE Discovery Session | Housing Inspectors Group,110,Not any training materials
DOCE Discovery Session | Housing Inspectors Group,111,Did get some trainings when restarting VPR
DOCE Discovery Session | Housing Inspectors Group,112,Could do new complaint walk through for new guy
DOCE Discovery Session | Housing Inspectors Group,113,Did materials for Camino
DOCE Discovery Session | Housing Inspectors Group,114,Struggling with Camino
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,0,Merritt – Commercial HVAC
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,1,Introductions
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,2,"Kevin – Electrical inspector, 28 years"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,3,"Terry – Commercial/Permit Building inspector, 24 years"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,4,Pat C – Building Inspector – 11 years
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,5,John M – Resident Bldg  inspector -18 years
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,6,"Merrit - HVAC Commercial, Nov – less than 1 year"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,7,Dan – Res Permit inspector 18 years
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,8,Role
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,9,Process
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,10,Pre-worksheet discussion
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,11,"Camino – received no training – found out they needed to enter completions, now they have to go back through the past 6 years worth of work"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,12,Need more assistant managers to support
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,13,Will they be keeping Camino - ? They hate using
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,14,"Thought they didn’t like IPS when they switched to Camino, now they miss IPS"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,15,Rochester & Buffalo – (John) hear great things about what Rochester is doing there – what do they use?
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,16,Pain Points & Challenges
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,17,Kevin: Primarily dealing with contractors
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,18,Using Camino
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,19,"Pull permit and they call for inspection, they call for finals, or if they need power turned on, work with national grid"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,20,"Inspections – photos, notes"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,21,Commercial Building inspectors
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,22,Invovled with contractors and subcontracors for new builds
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,23,"Use IPS for jobs that are getting completed, any new jobs in Camino"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,24,"At the end fo the – generate paperwork for CO or TCO – final plumbing, HVAC – have done all inspections and are finaled"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,25,Uses phone constantly for progress pictures – esp if issues that don’t meet code and may go to legal if not fixed – takes a lot of photos
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,26,Residential electrical – previously done by commercial building
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,27,Work directly with Fire department – they work in a different
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,28,Commercial – fire working hand in hand with permit inspections
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,29,Zoning and DPW to a lesser degree
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,30,Do their 90% of their own scheduling
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,31,Warmer dryer weather – c
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,32,5 inspections in a day
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,33,"Check footers, framing, electrical"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,34,Get power turned on
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,35,Building without a permit – initate in IPS
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,36,Refer to BAA and Law
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,37,50% of people they write up go BAA/Law
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,38,AS400 – checking ownership and activity – don't ask
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,39,Ask clerks for that
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,40,"Camino app they just found out about – not great, but better than nothing"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,41,Can take photos directly in the app and add them to the case (easier rather than)
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,42,Do – make their own schedule
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,43,Email crucial to what they do and phone calls
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,44,"At one point had IPS tablets – check to see if someone had permits, review permit plans"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,45,For documenting stages of constructions
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,46,In-field access to everything
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,47,Verify whether permit was pulled
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,48,Technology
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,49,Camino - no tickle date – if you don’t write down – gets lost
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,50,Internal due dates – the owner is notified – that's an issue
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,51,Lack of training with Camino
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,52,IPS better for day-to-day activities – aware of glitches and how to bypass issues
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,53,Format is better
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,54,Couldn’t do periodic inspections with it
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,55,Told by vendor they could do periodic inspections – but need that support – so if CofC
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,56,Camino – can't create anything as a reminder to do something – task management
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,57,Going backwards
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,58,Building inspectors – down people – 2 people covering the whole city – capacity
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,59,Projects can go on for
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,60,Residential guys – can be completed in 3 months – a lot more residential work going on day to day
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,61,System to keep you appraised of that stuff – as good as your input is
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,62,Camino not great for applicants as well – easy to add info i.e. enter someone’s license number
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,63,Easy to say you’re a license electrician – flawed system from a security perspective
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,64,Up to permitting person to contact inspectors – it's not in front of htem all the time
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,65,"There’s a backlog of stuff, especially roofs or driveways, fences – these all go away  - scheduling for final inspection doesn’t happen"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,66,They think they’re done when they pulling permit
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,67,“Impossible Piece of Shit” called it initially – keeps cases in front of them
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,68,Camino is a ghost – things get lost
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,69,At a property yesterday Terry cited – contractor told address was 423 – entered permit under 419 W Onondaga (says 419 on the building)
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,70,Front and rear
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,71,Addressing – ability to see building/mailing addresses in addition to parcel addres
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,72,Could pull permit for address not in the city in Camino – checks and balances issues
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,73,Notifications via email but difficult to case management from there
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,74,"No problem with IPS – attachments are easier to see, easier to pull up – fewer issues"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,75,Every other day can’t close completion form because internet issue
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,76,Not having the ability to timely issue something – not
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,77,Can’t print certificates
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,78,Integration? Personally feels one system would be good for their work
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,79,As far as permits go – they all
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,80,Can’t send letters with Camino or write violations - challenge
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,81,Since they don’t talk – cross referencing of everything
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,82,Clerks have a hard time with Camino
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,83,Bonus of Camino – supervisors can write
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,84,"All the contractors they know, hald can’t figure out how to use their phones – they're older"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,85,Only ones that check emails – diy owners – contractors think everything is spam
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,86,"For HVAC – some are using third party companies for the permitting pulling, scheduling inspections, instead of having the actual company do it"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,87,Would be emailing versus communicating via Camino – doesn't really get used though that’s how supervisors sold it (will cut down on communications because you can communicate directly within them)
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,88,"IPS – likes the format of it – when things are overdue, they turn red and don’t go away"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,89,Likes the uploading of things and being able to see
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,90,"Not as tech savvy – miss IPS – likes the tickle date option, have it come back to it"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,91,They created their own schedules
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,92,If someone leaves – takes of 200 cases – break them out to 10 a day – schedule it for yourself
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,93,Duplicates in Camino – adds CofC and
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,94,Shows up in schedule twice
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,95,Needs to assign CofC but don’t put their name on it
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,96,There is a tab in Camino to just look at roofs – that is nice
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,97,"Contractors hate Camino, except younger ones that are writing up BS – easy to lie"
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,98,If Camino has been out for awhile and people are using it – why are there these issues now? You would think
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,99,NYS we should use this -
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,100,If you schedule an inspection in Camino – have to add it to Outlook – no integration with Outlook with either Camino or IPS
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,101,Ideally communication between all three would be great
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,102,Permit office could still put permits in IPS like they used to – Permits team likes Camino
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,103,When you issue certificate – instantly notifies them which is a nice feature
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,104,IPS crashes sometimes – little issues here and there
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,105,Camino – not always – haent' been able to print a certicate all week – lots of glitches
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,106,Camino came out of nowhere
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,107,Doesn’t like RR module in IPS
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,108,Likes
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,109,Dislikes
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,110,Other Tools
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,111,Features/capabilities of a new system
DOCE Discovery Session | Fire Prevention Bureau,0,Introductions
DOCE Discovery Session | Fire Prevention Bureau,1,"Brian F – was in Codes before Fire, very familiar with IPS, does Permit Plans Review for Fire (remote)"
DOCE Discovery Session | Fire Prevention Bureau,2,Chief George “Rusty” Cowburn – DC Fire
DOCE Discovery Session | Fire Prevention Bureau,3,"1 year into current role. Tries not to interact with IPS, not as tech savvy, leans on staff with more experience with it"
DOCE Discovery Session | Fire Prevention Bureau,4,"Captain Kelly Willcox – Captain FPB, Code Enforcement side, 20 years, 7-8 years with FPB"
DOCE Discovery Session | Fire Prevention Bureau,5,Role
DOCE Discovery Session | Fire Prevention Bureau,6,Process
DOCE Discovery Session | Fire Prevention Bureau,7,Plans Review: Applications received through Camino
DOCE Discovery Session | Fire Prevention Bureau,8,Building Permit – third party reviewer not done in house
DOCE Discovery Session | Fire Prevention Bureau,9,Brian T receives for building part
DOCE Discovery Session | Fire Prevention Bureau,10,"Brian F receives for life/safety systems on (points of egress, occupant load, )"
DOCE Discovery Session | Fire Prevention Bureau,11,Make all permit comments in EPR
DOCE Discovery Session | Fire Prevention Bureau,12,Corrections report – sent to applicant
DOCE Discovery Session | Fire Prevention Bureau,13,Get back revised plans
DOCE Discovery Session | Fire Prevention Bureau,14,"Once reviews completed – once passed, Brian T creates letter of transmittal for permit for CPO, if passes FPB, Brian F creates letter transmittal for FPB"
DOCE Discovery Session | Fire Prevention Bureau,15,"Letter goes to Chief – gets signed off on it, attaches transmittal to Docs or Images in Camino or maybe IPS"
DOCE Discovery Session | Fire Prevention Bureau,16,Chad creates permit documentation – notify applicant and issue permit
DOCE Discovery Session | Fire Prevention Bureau,17,Fire Alarm side
DOCE Discovery Session | Fire Prevention Bureau,18,Application comes in along with Plans
DOCE Discovery Session | Fire Prevention Bureau,19,Forward to Sean Morrison
DOCE Discovery Session | Fire Prevention Bureau,20,Reviews applications and plans to verify documentation submitted is compliant
DOCE Discovery Session | Fire Prevention Bureau,21,Chad receives final application documentation
DOCE Discovery Session | Fire Prevention Bureau,22,Assigns to Sean for review or Brian F for review
DOCE Discovery Session | Fire Prevention Bureau,23,Plan review in EPR
DOCE Discovery Session | Fire Prevention Bureau,24,Complete plan review
DOCE Discovery Session | Fire Prevention Bureau,25,"Not compliant – create correction report, sends to applicant"
DOCE Discovery Session | Fire Prevention Bureau,26,Final review – letter of transmittal for permit for fire alarm
DOCE Discovery Session | Fire Prevention Bureau,27,"Letter created, reviewed by Chief – reviews, approves, sends to Chad, updated in permit"
DOCE Discovery Session | Fire Prevention Bureau,28,Certificate of Occupancy
DOCE Discovery Session | Fire Prevention Bureau,29,Main building inspector create CO/TCO
DOCE Discovery Session | Fire Prevention Bureau,30,Sends to inspectors and Chief – forwards to Brian to review to make sure documentation is correct
DOCE Discovery Session | Fire Prevention Bureau,31,Building permits could be in IPS or Camino
DOCE Discovery Session | Fire Prevention Bureau,32,"Reviews all permits associated – notifies if everything is completed, recommend if be issued, if finds problem with it"
DOCE Discovery Session | Fire Prevention Bureau,33,Building permits Fire assigned to – anything new and
DOCE Discovery Session | Fire Prevention Bureau,34,Fire also there throughout – sometimes
DOCE Discovery Session | Fire Prevention Bureau,35,Certificate of Use
DOCE Discovery Session | Fire Prevention Bureau,36,Fire alarm suppression
DOCE Discovery Session | Fire Prevention Bureau,37,Tanks – just Fire
DOCE Discovery Session | Fire Prevention Bureau,38,Permit tank application
DOCE Discovery Session | Fire Prevention Bureau,39,Licensing inspection
DOCE Discovery Session | Fire Prevention Bureau,40,Complaint inspection
DOCE Discovery Session | Fire Prevention Bureau,41,Eventually operating permit inspection
DOCE Discovery Session | Fire Prevention Bureau,42,"Tents up, propane use, food trucks, biannualfrat/serority inspection, service station"
DOCE Discovery Session | Fire Prevention Bureau,43,Inspections in Camino with permit application
DOCE Discovery Session | Fire Prevention Bureau,44,Certificate of Inspection
DOCE Discovery Session | Fire Prevention Bureau,45,Comes in through Camino
DOCE Discovery Session | Fire Prevention Bureau,46,Only thing remaining in IPS is a complaint inspections
DOCE Discovery Session | Fire Prevention Bureau,47,Only start complaint in IPS if it’s a stop work order
DOCE Discovery Session | Fire Prevention Bureau,48,Inspections usually triggered through licensing or a complaint that comes in
DOCE Discovery Session | Fire Prevention Bureau,49,Research – need to figure out historical
DOCE Discovery Session | Fire Prevention Bureau,50,Cumbersome in IPS to find
DOCE Discovery Session | Fire Prevention Bureau,51,Pain Points & Challenges
DOCE Discovery Session | Fire Prevention Bureau,52,Issues/Frustrations
DOCE Discovery Session | Fire Prevention Bureau,53,Can group permits using case number in IPS – nice features
DOCE Discovery Session | Fire Prevention Bureau,54,Finding associated permits at parcels with 5 stores is nightmare
DOCE Discovery Session | Fire Prevention Bureau,55,CO or TCO
DOCE Discovery Session | Fire Prevention Bureau,56,Camino doesn’t identify which permit goes with which project – may have to review up to 50 different permits
DOCE Discovery Session | Fire Prevention Bureau,57,Likes parcel history feature on IPS – takes less time to find cases and review
DOCE Discovery Session | Fire Prevention Bureau,58,"In IPS you can identify the property, property owner, tax numbers"
DOCE Discovery Session | Fire Prevention Bureau,59,Can use any address you want in Camino
DOCE Discovery Session | Fire Prevention Bureau,60,Suggested improvement
DOCE Discovery Session | Fire Prevention Bureau,61,Tools
DOCE Discovery Session | Fire Prevention Bureau,62,Compliance Engine/Brycer - anything that requires third party report review
